quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-07-01,Viant - MW,57922.43,,,6170.59,0
2025-01-01,Lemma DSP CTV Ad,57497.81,,,,0
2025-04-01,Bidswitch - Seedtag,55089.4,,,,0
2026-04-01,Beeswax UR Improvement Tier 2 (Mid UR),55061.4,,4978.44,,0
2025-10-01,Beeswax UR Improvement Tier 1 (High UR),55059.68,,,,0
2025-07-01,4INFO - CTV - 1st Price,54432.7,,,1953.19,0
2025-04-01,Conversant Pluto CTV (204778),53679.87,,,,0
2025-07-01,Bidswitch - APP 1st Price,53063.93,,,1281.16,0
2025-04-01,Beeswax - CTV - Open Auction,52734.01,,,,0
2025-10-01,Beeswax UR Improvement Tier 2 (Mid UR),52691.72,,,,0
2025-07-01,Beeswax - CTV - Open Auction,52628.2,,,,0
2025-07-01,TrueX Roku AVOD,52440.36,,,7837.2,0
2025-01-01,Adtelligent - CTV - A+E Networks $15,51874.86,,,,0
2026-04-01,TrueX Roku AVOD,51525.42,,6835.44,,0
2025-07-01,,51420.27,,,,0
2025-04-01,TrueX Roku AVOD,51404.94,,,,0
2026-01-01,Xandr CTV,51284.4,,,,0
2026-01-01,Beeswax UR Improvement Tier 1 (High UR),51036.61,,,,0
2025-07-01,Sharethrough CTV Video,50043.3,,,3360.49,0
2025-04-01,Ad Theorent - CTV - 1st Price,49167.54,,,,0
2026-07-01,SEEDTAG (DON'T USE),48290.63,48290.63,,,0
2025-07-01,Beeswax UR Improvement Tier 1 (High UR),47961.41,,,1703.64,0
2026-01-01,Yahoo - In-App,47935.34,,,,0
2026-04-01,Adtelligent - CTV - A+E Networks $15,46356.77,,10668.47,,0
2025-10-01,Viant - MW,45977.43,,,,0
2025-07-01,TTD - APP,45097.94,,,6419.26,0
2026-04-01,Beeswax - CTV - Open Auction WEST,43764.1,,,,0
2026-04-01,Sharethrough CTV Video,43087.21,,12889.37,,0
2025-07-01,Xandr CTV,42247.01,,,11032.78,0
2026-01-01,TTD - APP,42116.45,,,,0
2025-10-01,Viant - MW - 1st Price,41850.85,,,,0
2025-01-01,Viant - Desktop,41755.64,,,,0
2025-01-01,Xandr CTV,41444.89,,,,0
2025-07-01,Centro Video Web (1st Price),41416.3,,,6096.41,0
