quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2026-01-01,Sharethrough InApp Video (Open Auction),3985.81,,,,0
2026-04-01,Sharethrough Web (Open Auction),3957.93,,1844.76,,0
2025-01-01,Amobee - Desktop/MW [Display],3941.42,,,,0
2025-10-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,3929.12,,,,0
2025-07-01,Viant - APP [Display],3916.35,,,1145.95,0
2025-01-01,Ad Theorent - APP [Display],3888.38,,,,0
2026-04-01,DemandBase - CTV,3857.8,,197.01,,0
2026-04-01,Octillion - CTV - Open,3835.0,,855.69,,0
2025-07-01,StackAdapt - Desktop - Open Auction,3824.88,,,1122.08,0
2025-04-01,Beeswax - CTV - Open Auction - Paramount,3766.81,,,,0
2026-01-01,Beeswax UR Improvement Tier 3 (Low UR),3724.47,,,,0
2025-10-01,SmartyAds - CTV (Plex),3722.28,,,,0
2025-04-01,SimpliFi - Desktop [Display],3719.47,,,,0
2025-10-01,SkyUK_Play.Works UK non Sky,3688.23,,,,0
2025-07-01,SimpliFi - Desktop [Display],3665.11,,,416.1,0
2025-10-01,Viant - MW [Display],3649.39,,,,0
2025-07-01,Adtelligent - CTV,3580.91,,,0.72,0
2026-07-01,TrueX Roku Games,3501.66,3501.66,,,0
2025-01-01,Ad Theorent - APP Video 1st Price,3448.91,,,,0
2026-07-01,TTD - APP [Display],3448.19,3448.19,,,0
2025-07-01,Viant - APP - 1st Price,3447.05,,,936.89,0
2025-04-01,TTD - Seedtag - Pub ID Swap Test,3420.97,,,,0
2025-01-01,Bidswitch - MW - 1st Price (HB),3402.95,,,,0
2025-01-01,Conversant - InApp - Open Auction,3390.27,,,,0
2025-04-01,TTD - MW - 1st Price (HB),3384.75,,,,0
2025-10-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,3368.33,,,,0
2026-04-01,TTD - MW - 1st Price (HB),3297.47,,626.69,,0
2025-10-01,TTD - CTV (Charter),3270.47,,,,0
2026-01-01,PlayWire RON,3264.64,,,,0
2025-07-01,SmartyAds - CTV (1st Price),3244.63,,,539.36,0
2025-07-01,SmartyAds - CTV (Streaming Apps),3222.77,,,287.75,0
2026-01-01,TTD - MW [Display],3192.01,,,,0
2025-10-01,Viant - APP [Display],3191.02,,,,0
2025-04-01,Yahoo - Desktop MW - Open Auction,3169.14,,,,0
2026-04-01,TTD - MW [Display],3158.01,,938.0,,0
2025-10-01,SmartyAds - CTV (1st Price),3132.05,,,,0
2026-07-01,Beeswax UR Improvement Tier 1 (High UR),3127.54,3127.54,,,0
2025-04-01,Bidswitch - Desktop [Display],3124.79,,,,0
2025-10-01,LoopMe DSP Lottery Campaign copy (deal mimic),3114.9,,,,0
2025-10-01,SmartyAds - CTV (Paramount),3074.85,,,,0
2025-04-01,SmartyAds - (Seedtag),3069.77,,,,0
2026-07-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,3053.88,3053.88,,,0
2026-01-01,TrueX FireTV Games ,3011.64,,,,0
2026-04-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,3005.63,,193.45,,0
2025-10-01,Bidswitch - CTV - 1st Price (Bundle 151908),2962.01,,,,0
2026-01-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,2941.67,,,,0
2026-04-01,Viant - Desktop,2940.91,,620.45,,0
2026-01-01,Viant - MW [Display],2897.51,,,,0
2025-01-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,2893.34,,,,0
2025-04-01,Viant - APP - 1st Price,2891.64,,,,0
2025-10-01,TrueX Cox games,2891.22,,,,0
2025-07-01,GroundTruth Video CTV - No LatLong,2849.28,,,2849.28,0
2025-10-01,TrueX LG AVOD,2827.5,,,,0
2025-01-01,535Media - oRTB CTV,2802.09,,,,0
2025-10-01,SmartyAds - CTV (Streaming Apps),2790.76,,,,0
2026-04-01,Yahoo - Desktop MW - Open Auction,2780.35,,185.08,,0
2025-01-01,Beeswax - App - Open Auction,2756.33,,,,0
2026-04-01,Conversant - Web - Open Auction - Seedtag,2703.53,,1218.2,,0
2026-04-01,Viant - MW [Display],2698.63,,384.66,,0
2025-01-01,SmartyAds - CTV (1st Price),2652.54,,,,0
2025-01-01,Beeswax - Display - Desktop/MW,2650.54,,,,0
2025-10-01,Marketing Architects - OTT,2649.56,,,,0
2026-07-01,Ad Theorent - CTV - 1st Price,2648.72,2648.72,,,0
2026-01-01,Adtelligent - CTV,2615.98,,,,0
2025-10-01,TTD - MW [Display],2614.81,,,,0
2026-01-01,TTD - Desktop [Display],2593.99,,,,0
2025-07-01,SmartyAds - (Seedtag),2585.5,,,266.87,0
2025-04-01,Beachfront Marketplace,2564.7,,,,0
2025-07-01,Bidswitch - MW [Display],2555.36,,,915.0,0
2026-07-01,TTD - CTV - oRTB (Canada),2541.65,2541.65,,,0
2025-10-01,Lemma DSP Inapp Video,2522.5,,,,0
2026-07-01,TrueX Vizio AVOD,2517.3,2517.3,,,0
2025-10-01,Beeswax UR Improvement Tier 3 (Low UR),2511.08,,,,0
2025-07-01,Conversant - Web - Open Auction - Display,2498.5,,,365.21,0
2025-01-01,Adtelligent - CTV,2472.98,,,,0
2025-01-01,SmartyAds - CTV (Paramount),2465.46,,,,0
2025-04-01,Viant - CTV (Charter),2432.02,,,,0
2026-04-01,TTD - Desktop [Display],2413.54,,693.83,,0
2025-01-01,Sharethrough CTV Video - Targeting away from Not Approved list,2404.52,,,,0
2025-01-01,Storygize - Desktop (1st Price),2396.66,,,,0
2025-01-01,Bidswitch - APP Display,2393.58,,,,0
2025-07-01,Viant - CTV (Charter),2387.54,,,90.16,0
2026-01-01,DemandBase - CTV,2386.18,,,,0
2026-01-01,Basis - CTV - oRTB - (Canada),2369.32,,,,0
2026-04-01,TTD - CTV (LATAM),2353.91,,649.95,,0
2025-07-01,Krush Media Video - CTV Direct (700),2347.04,,,537.33,0
2025-01-01,Viant - CTV (Charter),2346.79,,,,0
2026-01-01,Adtelligent - CTV (Price Targeted),2331.05,,,,0
2025-10-01,Adtelligent - CTV (Price Targeted),2313.35,,,,0
2025-10-01,TrueX FireTV Games ,2291.52,,,,0
2026-07-01,Adtelligent - CTV (Price Targeted),2274.32,2274.32,,,0
2026-01-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,2264.28,,,,0
2025-07-01,Yahoo - Desktop MW - Open Auction,2233.87,,,236.57,0
2026-04-01,TrueX FireTV Games ,2225.82,,338.1,,0
2025-07-01,Marketing Architects - CTV - EW Scripps LAT,2221.24,,,528.91,0
2026-01-01,TrueX Comcast AVOD,2215.84,,,,0
2025-01-01,Roku_Tankee_$7_AVOD_8156,2212.52,,,,0
2026-04-01,Centro Display InApp,2191.02,,83.14,,0
2025-04-01,Krush Media Video - CTV Direct (700),2189.88,,,,0
2025-04-01,4INFO - CTV - 1st Price,2162.52,,,,0
2026-07-01,SkyUK_SkyMedia,2146.15,2146.15,,,0
2025-01-01,Conversant - CTV - Open Auction (Charter),2143.0,,,,0
2025-04-01,TrueX Cox games,2139.84,,,,0
2026-04-01,TrueX Cox games,2120.22,,313.26,,0
2026-04-01,Viant - Desktop - 1st Price,2117.81,,688.97,,0
2025-10-01,Sharethrough InApp Video (Open Auction),2106.11,,,,0
2025-01-01,GroundTruth Display,2099.31,,,,0
2026-04-01,Sharethrough InApp Video (Open Auction),2043.59,,632.22,,0
2025-07-01,Conversant - InApp - Open Auction,2038.32,,,354.84,0
2025-04-01,Conversant - Web - Open Auction - Video,2009.23,,,,0
2025-01-01,Krush Media Video - CTV Direct (700),1984.86,,,,0
2025-07-01,TrueX Cox games,1966.86,,,232.92,0
2026-01-01,DeepIntent CTV OLV Demand,1936.46,,,,0
2026-01-01,Beeswax - CTV - Open Auction EAST,1921.19,,,,0
2026-07-01,TrueX Vizio games,1901.76,1901.76,,,0
2025-10-01,TrueX Comcast AVOD,1897.68,,,,0
2025-07-01,Conversant Philo CTV (125613),1893.39,,,410.38,0
2025-07-01,Bidswitch - Desktop [Display],1891.24,,,242.65,0
2025-04-01,Adtelligent - CTV,1885.04,,,,0
2026-07-01,TrueX LG games,1866.18,1866.18,,,0
2026-07-01,TrueX Comcast games,1801.86,1801.86,,,0
2026-04-01,TrueX Comcast AVOD,1794.48,,142.74,,0
2026-01-01,Centro Display Web,1778.55,,,,0
2025-07-01,TrueX LG AVOD,1765.74,,,229.26,0
2025-07-01,Beeswax UR Improvement Tier 3 (Low UR),1748.77,,,32.65,0
2026-01-01,Viant - APP [Display],1745.49,,,,0
2025-10-01,DeepIntent CTV OLV Demand,1692.72,,,,0
2026-04-01,Viant - APP [Display],1690.09,,127.98,,0
2025-10-01,Conversant - Web - Open Auction - Display,1684.31,,,,0
2026-07-01,TTD - APP,1681.11,1681.11,,,0
2025-01-01,Beachfront Marketplace,1680.09,,,,0
2025-01-01,TTD - Seedtag - Pub ID Swap Test,1671.74,,,,0
2025-04-01,GroundTruth Video CTV - Efficiency Monitoring,1646.19,,,,0
2026-04-01,TTD - CTV - oRTB (Canada),1635.38,,178.88,,0
2025-04-01,SmartyAds - Web [Display],1634.12,,,,0
2025-10-01,TTD - Desktop [Display],1633.93,,,,0
2026-07-01,Adtelligent - CTV,1588.78,1588.78,,,0
2025-01-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,1571.29,,,,0
2026-01-01,TTD - CTV (Charter),1533.95,,,,0
2026-04-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,1533.85,,4.26,,0
2025-04-01,SmartyAds - CTV (Plex),1523.53,,,,0
2026-01-01,TrueX Cox games,1504.62,,,,0
2025-01-01,Bidswitch - APP 1st Price,1489.06,,,,0
2025-01-01,Marketing Architects - CTV 1st Price (Hearst),1484.58,,,,0
2025-04-01,TrueX LG AVOD,1480.62,,,,0
2025-07-01,Viant - Desktop [Display],1476.57,,,244.71,0
2025-01-01,SmartyAds - Web [Display],1471.27,,,,0
2025-04-01,Beeswax UR Improvement Tier 3 (Low UR),1462.47,,,,0
2025-10-01,Beachfront Marketplace,1457.34,,,,0
2025-04-01,Bidswitch - APP Display,1443.06,,,,0
2025-01-01,Bidswitch - Seedtag,1441.35,,,,0
2025-04-01,Lemma DSP Inapp Video,1432.86,,,,0
2026-01-01,TTD - CTV (LATAM),1419.71,,,,0
2025-10-01,TrueX FireTV AVOD,1410.08,,,,0
2025-07-01,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,1405.56,,,1091.42,0
2025-07-01,Conversant Vizio CTV (203828),1404.74,,,302.17,0
2025-04-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,1403.51,,,,0
2025-04-01,DemandBase - CTV,1368.75,,,,0
2025-07-01,Bidswitch - Desktop - 1st Price (HB),1342.87,,,124.52,0
2025-07-01,TTD - Desktop [Display],1339.17,,,489.16,0
2025-04-01,PlayWire RON,1337.27,,,,0
2025-01-01,TrueX LG AVOD,1323.0,,,,0
2025-10-01,Krush Media Web Video,1320.43,,,,0
2025-01-01,Bidswitch - APP,1305.88,,,,0
2026-01-01,Test PSA Ads,1295.35,,,,0
2025-10-01,Krush Media Video - CTV Direct (700),1292.71,,,,0
2025-07-01,DemandBase - CTV,1268.66,,,325.55,0
2026-01-01,Yahoo - Desktop MW - Open Auction,1266.19,,,,0
2025-04-01,Conversant Philo CTV (125613),1265.92,,,,0
2026-07-01,Sharethrough CTV Video,1263.43,1263.43,,,0
2025-07-01,PlayWire RON,1232.2,,,37.55,0
2025-07-01,Krush Media Web Video,1224.72,,,43.32,0
2026-01-01,Viant - APP - 1st Price,1221.23,,,,0
2025-07-01,Conversant - Web - Open Auction - Video,1216.78,,,140.62,0
2025-01-01,Adtelligent - CTV (Fubo),1207.42,,,,0
2026-01-01,Marketing Architects - OTT,1201.41,,,,0
2025-10-01,StackAdapt - Desktop - Open Auction,1186.59,,,,0
2026-04-01,Conversant - InApp - Open Auction,1178.73,,182.07,,0
2025-04-01,Beeswax - CTV - Open Auction EAST,1175.17,,,,0
2025-07-01,Octillion - CTV - Open,1163.04,,,48.19,0
2026-07-01,Viant - MW - 1st Price,1157.98,1157.98,,,0
2025-01-01,Beeswax Deal - CTV - TEGNA,1141.55,,,,0
2026-01-01,Viant - APP,1129.34,,,,0
2025-01-01,Viant - Desktop - 1st Price,1128.52,,,,0
2026-04-01,TrueX LG AVOD,1126.2,,115.74,,0
2025-04-01,Amobee - Desktop/MW [Display],1124.89,,,,0
2025-10-01,Viant - APP,1113.1,,,,0
2025-04-01,2505 - MGMPLUS -  MAY 2025 XCH - MGMP20313-14 (SERIES),1108.02,,,,0
2025-10-01,Ad Theorent - Desktop/MW Display,1095.4,,,,0
2025-04-01,Roku_Tankee_$7_AVOD_8156,1086.22,,,,0
2025-10-01,Viant - Desktop [Display],1080.02,,,,0
2025-07-01,SmartyAds - Web [Display],1072.77,,,128.71,0
2025-10-01,Viant - APP - 1st Price,1071.09,,,,0
2025-04-01,Storygize - MW (1st Price),1068.62,,,,0
2025-01-01,SmartyAds - (Seedtag),1066.37,,,,0
2025-07-01,TTD - CTV (Charter),1061.48,,,275.36,0
2025-04-01,Storygize - Desktop (1st Price),1057.32,,,,0
2025-07-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,1055.17,,,17.33,0
2025-04-01,Beeswax - Display - Desktop/MW,1044.38,,,,0
2026-07-01,Viant - MW,1033.89,1033.89,,,0
2025-07-01,SmartyAds - CTV (Plex),1033.29,,,176.57,0
2025-01-01,SmartyAds - App [Display],1016.54,,,,0
2025-10-01,4INFO - CTV - 1st Price,1004.16,,,,0
2026-01-01,Viant - Desktop [Display],992.04,,,,0
2025-07-01,TrueX Comcast AVOD,991.08,,,194.52,0
2025-07-01,Marketing Architects - OTT,986.61,,,235.65,0
2026-04-01,LoopMe DSP Lottery Campaign copy (deal mimic),978.97,,116.83,,0
2025-01-01,TrueX Comcast AVOD,970.0,,,,0
2025-07-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,968.1,,,65.9,0
2026-01-01,TrueX LG AVOD,949.5,,,,0
2026-07-01,Yahoo - Desktop MW - Open Auction,927.65,927.65,,,0
2025-04-01,Bidswitch - CTV - 1st Price (Bundle 151908),923.07,,,,0
2025-07-01,Bidswitch - CTV - 1st Price (Bundle 151908),916.49,,,81.28,0
2025-04-01,Roku SA Kids Tweens Excluding Latam,908.41,,,,0
2025-01-01,Beeswax - CTV - Open Auction EAST,899.09,,,,0
2025-10-01,The Smashing Machine,897.0,,,,0
2026-07-01,TrueX FireTV AVOD,874.86,874.86,,,0
2025-10-01,Conversant - Web - Open Auction - Video,865.35,,,,0
2025-04-01,Octillion - CTV - Open,864.79,,,,0
2025-10-01,Basis - CTV - oRTB - (Canada),863.56,,,,0
2026-04-01,2605 - MGMPLUS - MAY 2026 - XCH - MGMP23448-13 - SERIES ,843.44,,,,0
2025-01-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,840.34,,,,0
2025-10-01,2511 - MGMPLUS - ROBIN HOOD PROMO - MGMPHD363301-01  (SERIES),826.72,,,,0
2025-10-01,Beeswax - CTV - Open Auction EAST,823.04,,,,0
2026-01-01,SundaySky - MW - 1st Price,817.58,,,,0
2025-07-01,Lemma DSP Inapp Video,808.68,,,120.15,0
2026-01-01,Conversant - Web - Open Auction - Display,803.0,,,,0
2025-04-01,2505 - MGMPLUS -  MAY 2025 XCH - MGMP20313-14 (MOVIES),788.87,,,,0
2025-01-01,Octillion - CTV - Open,785.36,,,,0
2026-01-01,TTD - CTV (UK) ,783.14,,,,0
2026-04-01,Centro Display Web,782.59,,103.64,,0
2026-04-01,Basis - CTV - oRTB - (Canada),757.29,,148.82,,0
2025-10-01,Ad Theorent - APP [Display],741.85,,,,0
2026-01-01,SmartyAds - CTV (Samsung),741.8,,,,0
2026-07-01,Ad Theorent - Desktop/MW - 1st Price,736.76,736.76,,,0
2025-07-01,535Media - oRTB CTV,719.35,,,713.57,0
2025-01-01,Beeswax - CTV - Open Auction - Efficiency Monitoring,714.01,,,,0
2026-04-01,Viant - APP - 1st Price,712.42,,112.86,,0
2025-01-01,Amobee - Desktop/MW - 1st price,705.77,,,,0
2025-04-01,LoopMe DSP Lottery Campaign copy (deal mimic),697.44,,,,0
2025-04-01,TrueX Comcast AVOD,688.56,,,,0
2025-01-01,TrueX Cox games,681.68,,,,0
2025-04-01,TrueX FireTV Games ,678.0,,,,0
2025-10-01,SimpliFi - APP [Display],667.72,,,,0
2025-07-01,TrueX FireTV Games ,666.6,,,56.7,0
2025-01-01,2501-MGMPLUS - JAN 2025 XCH - MGMP2030015 - MOVIES,655.12,,,,0
2026-04-01,Beeswax UR Improvement Tier 3 (Low UR),648.73,,48.38,,0
2025-07-01,Conversant - CTV - Open Auction (Charter),645.96,,,47.35,0
2026-07-01,LoopMe - Open Auction - CTV,632.68,632.68,,,0
2026-04-01,Viant - APP,630.88,,94.56,,0
2026-01-01,SundaySky - Desktop - 1st Price,629.35,,,,0
2025-10-01,GroundTruth Video CTV - Efficiency Monitoring,619.12,,,,0
2026-04-01,TTD - CTV (Charter),611.96,,25.61,,0
2025-01-01,SmartyAds - Web Video,604.07,,,,0
2025-04-01,Conversant Vizio CTV (203828),603.06,,,,0
2025-01-01,Unruly CTV Video,594.72,,,,0
2025-04-01,Beeswax Deal - CTV - TEGNA,594.54,,,,0
2025-01-01,Krush Media Web Video,594.52,,,,0
2025-01-01,Beeswax - Desktop/MW - Open Auction,590.35,,,,0
2026-07-01,TTD - Desktop - 1st Price (HB),566.94,566.94,,,0
2025-04-01,Beeswax - Desktop/MW - Open Auction,566.58,,,,0
2025-10-01,Conversant - CTV - Open Auction (Charter),565.39,,,,0
2025-01-01,Yahoo - In-App,557.31,,,,0
2026-07-01,TrueX LG AVOD,551.46,551.46,,,0
2025-01-01,TrueX FireTV Games ,549.46,,,,0
2025-07-01,SmartyAds - Web [Display] (Allow List 9.7.21),540.47,,,,0
2026-04-01,StackAdapt - Desktop - Open Auction,539.68,,45.04,,0
2025-07-01,GroundTruth Video CTV - Efficiency Monitoring,537.98,,,54.44,0
2026-04-01,Marketing Architects - CTV 1st Price - Roku Device Targeting Only,519.68,,140.98,,0
2025-10-01,TTD - CTV (LATAM),517.18,,,,0
2025-04-01,2506 - MGMPLUS - JUNE XCH - SERIES - MGMP20316-12 ,514.51,,,,0
2026-01-01,StackAdapt - Desktop - Open Auction,514.02,,,,0
2026-01-01,2601 - MGMPLUS - JAN 2026 XCH - MGMP23424-13 - MOVIES,509.89,,,,0
2026-01-01,SmartyAds - CTV (1st Price),508.37,,,,0
2025-10-01,SimpliFi - MW [Display],506.99,,,,0
2025-01-01,Amobee - APP 1st Price,504.77,,,,0
2025-01-01,2501-MGMPLUS - JAN 2025 XCH - MGMP2030015 - SERIES,500.2,,,,0
2025-04-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,495.13,,,,0
2026-04-01,Viant - Desktop [Display],487.68,,71.35,,0
2025-07-01,Yahoo - In-App,486.64,,,27.02,0
2025-01-01,SimpliFi - Seedtag,478.25,,,,0
2025-01-01,Viant - APP - 1st Price,474.15,,,,0
2025-04-01,SimpliFi - CTV - 1st Price (Glewed),470.44,,,,0
2026-07-01,DemandBase - CTV,463.35,463.35,,,0
2025-10-01,2511 - MGMPLUS - ROBIN HOOD PROMO - MGMPHD363301-01 - MOVIES,457.34,,,,0
2026-04-01,Ad Theorent - APP Video 1st Price,453.06,,36.51,,0
2025-04-01,Bidswitch - Desktop - 1st Price (HB),450.88,,,,0
2026-07-01,Yahoo - CTV - Open Auction,450.87,450.87,,,0
2026-04-01,2606 - MGMPLUS - JUNE XCH - MGMP23455-13  -  SERIES,448.36,,,,0
2026-01-01,StackAdapt - APP - Open Auction,448.01,,,,0
2025-01-01,MetaX Paramount $10.11,435.78,,,,0
2026-07-01,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,430.88,430.88,,,0
2025-01-01,The Media Sense DSP CTV Ads Direct,430.51,,,,0
2025-10-01,SimpliFi - Desktop [Display],427.25,,,,0
2026-04-01,Ad Theorent - Desktop/MW Display,422.16,,25.15,,0
2026-07-01,GroundTruth Video CTV,419.49,419.49,,,0
2026-01-01,2601 - MGMPLUS - JAN 2026 XCH - MGMP23424-13 - SERIES,418.08,,,,0
2025-10-01,SmartyAds - Web (Taboola),416.24,,,,0
2026-04-01,2605 - MGMPLUS - MAY 2026 - XCH - MGMP23448-13 - MOVIES,411.41,,,,0
2026-04-01,"2605 - MGMPLUS - MAY 2026 - FROM S4 PROMO ""Lullabies"" - MGMPHDD363412 - SERIES",407.32,,,,0
2026-07-01,StackAdapt - CTV - Open Auction (Canada),406.62,406.62,,,0
2025-04-01,0425 - MGMPLUS -  APRIL 2025 XCH PROMO - MGMP20312-14 (MOVIES),403.16,,,,0
2025-04-01,Yahoo - In-App,402.96,,,,0
2025-10-01,MetaX Paramount $10.11,397.91,,,,0
2025-04-01,Ad Theorent - APP Video 1st Price,392.3,,,,0
2026-04-01,Conversant - Web - Open Auction - Display,388.71,,70.73,,0
2025-01-01,2502 - MGMPLUS - FEB 2025 XCH - MGMP20305-15 - MOVIES,384.14,,,,0
2025-07-01,SmartyAds - Web (Taboola),383.2,,,17.67,0
2026-07-01,SmartyAds - CTV (Plex),378.73,378.73,,,0
2025-07-01,2507 - MGMPLUS - INSTITUTE S1 PROMO - SERIES - MGMPHD363209,367.33,,,19.02,0
2025-04-01,Beeswax - App - Open Auction,366.71,,,,0
2025-01-01,IQM - Display - Open Auction,361.18,,,,0
2025-01-01,2503 - MGMPLUS - MARCH 2025 XCH - MGMP20309-14 - MOVIES,359.9,,,,0
2025-04-01,StackAdapt - APP - Open Auction,359.7,,,,0
2026-04-01,Verizon - CTV (Charter),359.44,,1.25,,0
2025-04-01,2506 - MGMPLUS - JUNE XCH - MOVIES - MGMP20316-12,351.17,,,,0
2026-07-01,Viant - APP [Display],348.38,348.38,,,0
2026-04-01,2604 - MGMPLUS - APRIL 2026 XCH - MGMP23440-13 - SERIES,345.49,,,,0
2025-01-01,LoopMe DSP Lottery Campaign copy (deal mimic),344.61,,,,0
2026-04-01,Bidswitch - Desktop [Display],342.34,,8.13,,0
2025-07-01,Ad Theorent - APP [Display],341.02,,,37.3,0
2025-04-01,SmartyAds - App [Display],330.75,,,,0
2025-10-01,SmartyAds - Web [Display],330.29,,,,0
2025-04-01,Beeswax - CTV - Open Auction - Efficiency Monitoring,329.38,,,,0
2025-07-01,SmartyAds - App (1st Price),328.26,,,10.89,0
2026-07-01,Yahoo - CTV - Open Auction- Efficiency Monitoring,325.76,325.76,,,0
2026-07-01,TTD - MW - 1st Price (HB),325.23,325.23,,,0
2025-01-01,IQM - Web Video - Open Auction,318.68,,,,0
2026-04-01,IQM - CTV - Open Auction,315.85,,42.9,,0
2026-01-01,Ad Theorent - Desktop/MW Display,307.68,,,,0
2026-07-01,Viant - Desktop,298.57,298.57,,,0
2026-04-01,GroundTruth Display,298.03,,18.64,,0
2025-01-01,Yahoo - Seedtag,291.84,,,,0
2026-04-01,Conversant - Web - Open Auction - Video,288.11,,3.26,,0
2026-01-01,IQM - CTV - Open Auction,287.19,,,,0
2025-10-01,2512 - MGMPLUS - DECEMBER 2025 - ROBIN HOOD PP CRITICS PROMO - MGMPHD363339-01 - SERIES ,284.14,,,,0
2025-10-01,2510 - MGMPLUS - BTK - S3  - Dead or Alive Promo - MGMPHD363273 - PP - (MOVIES),281.38,,,,0
2025-07-01,2507 - MGMPLUS - INSTITUTE S1 PROMO - MOVIES - MGMPHD363209 ,280.3,,,9.87,0
2026-01-01,SmartyAds - CTV (Plex),279.23,,,,0
2025-07-01,2508 - MGMPLUS - AUG 2025 XCH - MGMP20323-10 - SERIES,278.72,,,,0
2025-10-01,2511 - MGMPLUS - NOVEMBER XCH - MGMP23418-13 (SERIES),278.13,,,,0
2026-04-01,StackAdapt - APP - Open Auction,276.96,,36.5,,0
2026-07-01,TTD - MW [Display],274.65,274.65,,,0
2025-07-01,Adtelligent - CTV (Fubo),273.11,,,0.39,0
2026-07-01,Sharethrough Web (Open Auction),269.67,269.67,,,0
2025-01-01,TTD - APP - 1st Price,263.25,,,,0
2026-07-01,Centro Display InApp,259.9,259.9,,,0
2026-04-01,Bidswitch - APP Display,259.8,,30.91,,0
2026-07-01,Marketing Architects - CTV 1st Price,259.16,259.16,,,0
2026-01-01,SmartyAds - Web [Display],257.22,,,,0
2026-07-01,Lemma DSP CTV Ad,254.67,254.67,,,0
2025-10-01,2510 - MGMPLUS - BTK S3 - Dead or Alive Promo - PP - MGMPHD363273 - (SERIES),253.18,,,,0
2025-10-01,2512 - MGMPLUS - DECEMBER 2025 XCH - MGMP23419-11 - SERIES,253.18,,,,0
2026-07-01,TrueX Comcast AVOD,248.46,248.46,,,0
2026-04-01,Bidswitch - CTV (Charter),248.07,,3.37,,0
2026-04-01,SmartyAds - CTV (Samsung),247.6,,127.16,,0
2026-07-01,TrueX FireTV Games ,245.4,245.4,,,0
2025-07-01,Basis - CTV - oRTB - (Canada),245.34,,,,0
2026-01-01,SmartyAds - CTV (Paramount),244.1,,,,0
2026-07-01,Viant - MW [Display],243.42,243.42,,,0
2026-01-01,Marketing Architects - CTV 1st Price (Hearst),238.91,,,,0
2025-07-01,2508 - MGMPLUS - INSTITUTE S1 PROMO - MGMPHD363209 - SERIES,238.0,,,,0
2026-07-01,Conversant - CTV - Open Auction,235.99,235.99,,,0
2025-01-01,Conversant - Web - Open Auction - Seedtag,235.06,,,,0
2026-07-01,TTD - CTV (Charter),234.01,234.01,,,0
2025-07-01,Ad Theorent - APP Video 1st Price,233.48,,,78.01,0
2025-07-01,Storygize - Desktop (1st Price),230.76,,,209.65,0
2025-04-01,SmartyAds - Web Video,230.45,,,,0
2025-10-01,TrueX Cox AVOD,228.8,,,,0
2025-10-01,IQM - CTV - Open Auction,226.98,,,,0
2025-07-01,DeepIntent CTV OLV Demand,224.41,,,27.53,0
2026-01-01,Krush Media Web Video,224.32,,,,0
2025-01-01,StackAdapt - APP - Open Auction,222.92,,,,0
2025-07-01,2507 - MGMPLUS - JULY XCH - MOVIES - MGMPHD20311-12,221.81,,,221.81,0
2026-07-01,Viant - CTV (Charter),220.74,220.74,,,0
2025-01-01,DeepIntent CTV OLV Demand,220.64,,,,0
2026-01-01,Bidswitch - Desktop [Display],219.07,,,,0
2025-10-01,2512 - MGMPLUS - DECEMBER 2025 - ROBIN HOOD PP CRITICS PROMO - MGMPHD363339-01 - MOVIES,213.52,,,,0
2025-04-01,GroundTruth Display,210.89,,,,0
2025-01-01,SmartyAds - App (1st Price),208.86,,,,0
2026-01-01,2602 - MGMPLUS - FEB 2026 XCH - MGMP23430 - MOVIES,208.36,,,,0
2025-10-01,2512 - MGMPLUS - DECEMBER 2025 XCH - MGMP23419-11 - MOVIES,206.72,,,,0
2025-07-01,2508 - MGMPLUS - AUG 2025 XCH - MGMP20323-10 - MOVIES,206.31,,,,0
2026-01-01,0326 - MGMPLUS -  AMERICAN CLASSIC PROMO - MGMPHD363384 - MOVIES ,202.17,,,,0
2026-04-01,DeepIntent CTV OLV Demand,201.66,,33.32,,0
2025-07-01,Conversant AMC CTV (205656),200.19,,,41.16,0
2025-04-01,2505 - MGMPLUS -  GOH S4 XCH Promo - MGMP20313-14 (SERIES Short Run),199.87,,,,0
2025-10-01,StackAdapt - APP - Open Auction,198.85,,,,0
2026-07-01,2607 - MGMPLUS - WESTIES - PROMO A - Pre-Premiere - MGMPHD363429 - SERIES,196.36,196.36,,,0
2025-10-01,SimpliFi - CTV - 1st Price (Glewed),196.04,,,,0
2025-07-01,StackAdapt - APP - Open Auction,195.53,,,0.54,0
2025-07-01,Conversant Filmrise CTV (203765),194.5,,,27.47,0
