period,connection_type,business_line,product_category,dsp_group_name,clearvu_account,channel_id,rev_gross
current_week,BidSwitch,Open Auction - BFM,CTV,Madopi,,Madopi,0.04
current_week,BidSwitch,Open Auction - BFM,Display,Madopi,,Madopi,0.03
previous_week,BidSwitch,Open Auction - BFM,CTV,Madopi,,Madopi,0.03
current_week,Direct,PMP - Curation,Online Video,Viant,,Viant,0.03
current_week,BidSwitch,Open Auction - BFM,CTV,Samsung DSP,,Samsung DSP,0.02
previous_week,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,,IPONWEB BidCore,0.01
previous_week,Direct,Open Auction - BFM,CTV,AdmaticBidswitch,,AdmaticBidswitch,0.01
current_week,BidSwitch,Open Auction - BFM,Display,Streamworx Lda.,,Streamworx Lda.,0.01
current_week,Direct,Open Auction - BFM,Display,BidSwitch,,Bidswitch,0.01
current_week,Direct,Open Auction - BFM,CTV,BidSwitch,,Bidswitch,0.01
previous_week,BidSwitch,Open Auction - BFM,Display,Aroscop,,Aroscop,0.01
previous_week,BidSwitch,Open Auction - BFM,Display,Streamworx Lda.,,Streamworx Lda.,0.01
previous_week,Direct,PMP - Curation,Online Video,Viant,,Viant,0.0
