quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions,outgoing_bids
2025-01-01,TheTradeDesk,TTD - CTV (Charter),7123.59,,,,0,0
2025-07-01,Adtheorent,Ad Theorent - Desktop/MW Display,7041.35,,,4292.21,0,0
2025-10-01,Epsilon (Conversant),Conversant - InApp - Open Auction,6986.92,,,,0,0
2025-10-01,Viant,Viant - CTV (Charter),6983.35,,,,0,0
2025-10-01,Demandbase,DemandBase - CTV,6916.53,,,,0,0
2025-01-01,TheTradeDesk,TTD - CTV (LG Ads Only),6893.65,,,,0,0
2025-10-01,SundaySky,SundaySky - MW - 1st Price,6840.34,,,,0,0
2025-04-01,SmartyAds,SmartyAds - CTV (Paramount),6765.35,,,,0,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),6714.88,,2842.98,,0,0
2025-01-01,StackAdapt,StackAdapt - Desktop - Open Auction,6640.35,,,,0,0
2026-01-01,Epsilon (Conversant),Conversant - InApp - Open Auction,6622.94,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant Pluto CTV (204778),6594.07,,,4659.35,0,0
2026-04-01,LoopMe,LoopMe - Open Auction - CTV,6591.98,,4604.73,,0,0
2026-01-01,Walmart,TTD - CTV (1st Price),6587.63,,,,0,0
2025-07-01,MadHive,MadHive - CTV - 1st Price (Paramount OA),6582.45,,,5778.45,0,0
2026-07-01,Sharethrough,Sharethrough InApp Video (Open Auction),6558.47,6558.47,,,0,0
2026-01-01,Epsilon (Conversant),Conversant - CTV - Open Auction,6483.02,,,,0,0
2025-01-01,SundaySky,SundaySky - MW - 1st Price,6446.53,,,,0,0
2026-01-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),6445.74,,,,0,0
2026-04-01,,TrueX FireTV AVOD,6424.98,,2318.7,,0,0
2025-01-01,TheTradeDesk,TTD - MW - 1st Price (HB),6335.52,,,,0,0
2025-01-01,SimpliFi,SimpliFi - MW [Display],6328.83,,,,0,0
2025-01-01,Walmart,TTD - CTV (1st Price),6285.88,,,,0,0
2026-04-01,Lemma DSP,Lemma DSP Inapp Video,6269.04,,2766.11,,0,0
2025-07-01,SmartyAds,SmartyAds - CTV (Paramount),6178.04,,,3461.0,0,0
2026-01-01,Octillion,Octillion - CTV - Open,6141.13,,,,0,0
2026-01-01,,TrueX FireTV AVOD,6092.9,,,,0,0
2025-01-01,GroundTruth,GroundTruth Video CTV - Efficiency Monitoring,6021.47,,,,0,0
2025-01-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),6018.53,,,,0,0
2026-01-01,Quantcast,Bidswitch - Seedtag,5986.28,,,,0,0
2026-01-01,TheTradeDesk,TTD - MW - 1st Price (HB),5828.87,,,,0,0
2025-04-01,TheTradeDesk,TTD - Desktop [Display],5767.68,,,,0,0
2025-07-01,Viant,Viant - APP,5675.46,,,3023.06,0,0
2025-01-01,DV360,Bidswitch - MW [Display],5620.8,,,,0,0
2026-01-01,TheTradeDesk,TTD - CTV (LG Ads Only),5598.48,,,,0,0
2025-10-01,TheTradeDesk,TTD - CTV (LG Ads Only),5593.31,,,,0,0
2025-10-01,Sharethrough,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,5484.83,,,,0,0
2026-07-01,Yahoo DSP,Yahoo - CTV - Open Auction,5455.44,5455.44,,,0,0
2026-04-01,Epsilon (Conversant),Conversant - CTV - Open Auction,5294.83,,3696.48,,0,0
2025-07-01,SimpliFi,SimpliFi - MW [Display],5221.06,,,2479.73,0,0
2025-10-01,Basis Technologies,Centro Display Web,5195.09,,,,0,0
2025-10-01,TheTradeDesk,TTD - CTV - oRTB (Canada),5191.85,,,,0,0
2025-07-01,Viant,Viant - MW [Display],5164.45,,,2994.94,0,0
2025-10-01,Adtelligent,Adtelligent - CTV,5154.41,,,,0,0
2025-04-01,SmartyAds,SmartyAds - CTV (Streaming Apps),5139.83,,,,0,0
2025-01-01,SimpliFi,SimpliFi - APP - 1st Price,5127.86,,,,0,0
2026-07-01,StackAdapt,SEEDTAG (DON'T USE),5107.03,5107.03,,,0,0
2026-07-01,Adtelligent,Adtelligent - CTV,5096.29,5096.29,,,0,0
2025-07-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),5044.66,,,661.01,0,0
2025-01-01,SimpliFi,SimpliFi - CTV - 1st Price (Glewed),5009.02,,,,0,0
2025-04-01,Viant,Viant - Desktop [Display],4997.01,,,,0,0
2026-04-01,SmartyAds,SmartyAds - CTV (Plex),4921.37,,2178.14,,0,0
2025-04-01,StackAdapt,StackAdapt - Desktop - Open Auction,4838.21,,,,0,0
2026-01-01,Yahoo DSP,Yahoo - CTV - Open Auction,4783.17,,,,0,0
2026-04-01,OnSpot Data,Bidswitch - CTV - 1st Price,4726.98,,2398.97,,0,0
2026-04-01,Basis Technologies,Centro Video Web (1st Price),4720.01,,4545.27,,0,0
2025-04-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,4707.33,,,,0,0
2025-04-01,SimpliFi,SimpliFi - MW [Display],4682.49,,,,0,0
2026-07-01,DBM,Seedtag,4677.89,4677.89,,,0,0
2025-04-01,SmartyAds,SmartyAds - CTV (1st Price),4668.27,,,,0,0
2025-04-01,535Media,535Media - oRTB CTV,4651.16,,,,0,0
2025-07-01,Infillion,Bidswitch - CTV - 1st Price,4611.95,,,2519.42,0,0
2025-07-01,SimpliFi,SimpliFi - Seedtag,4574.47,,,2002.72,0,0
2026-04-01,Yahoo DSP,Yahoo - CTV - Open Auction,4572.18,,1669.34,,0,0
2025-04-01,Epsilon (Conversant),Conversant - CTV - Open Auction (Charter),4557.02,,,,0,0
2025-04-01,SimpliFi,SimpliFi - Seedtag,4515.57,,,,0,0
2026-01-01,Basis Technologies,Centro Display InApp,4502.85,,,,0,0
2025-04-01,DV360,Bidswitch - MW [Display],4458.79,,,,0,0
2026-04-01,StackAdapt,SEEDTAG (DON'T USE),4423.76,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant - InApp - Open Auction,4390.86,,,,0,0
2026-07-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,4377.25,4377.25,,,0,0
2025-10-01,DV360,Bidswitch - Desktop - 1st Price (HB),4371.9,,,,0,0
2026-04-01,DV360,Bidswitch - Seedtag,4336.92,,4336.92,,0,0
2025-01-01,Seedtag,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,4334.77,,,,0,0
2026-07-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,4302.71,4302.71,,,0,0
2026-04-01,Adtelligent,Adtelligent - CTV,4289.31,,1865.18,,0,0
2026-07-01,Viant,Viant - MW - 1st Price,4282.98,4282.98,,,0,0
2025-01-01,SimpliFi,SimpliFi - Desktop [Display],4260.71,,,,0,0
2025-01-01,DV360,Bidswitch - Desktop [Display],4242.02,,,,0,0
2026-04-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),4211.62,,1894.34,,0,0
2025-04-01,Adtheorent,Ad Theorent - APP [Display],4171.81,,,,0,0
2026-04-01,TheTradeDesk,TTD - CTV (UK) ,4167.93,,1371.33,,0,0
2026-07-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),4121.35,4121.35,,,0,0
2026-01-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,4072.18,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant - Web - Open Auction - Display,4058.18,,,,0,0
2025-10-01,Octillion,Octillion - CTV - Open,4029.29,,,,0,0
2026-07-01,TheTradeDesk,TTD - CTV - oRTB (Canada),3986.21,3986.21,,,0,0
2026-01-01,Sharethrough,Sharethrough InApp Video (Open Auction),3985.81,,,,0,0
2025-10-01,Amazon DSP,Bidswitch - APP 1st Price,3966.11,,,,0,0
2026-04-01,Sharethrough,Sharethrough Web (Open Auction),3957.94,,2449.58,,0,0
2025-01-01,Amobee,Amobee - Desktop/MW [Display],3933.28,,,,0,0
2025-10-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,3928.98,,,,0,0
2025-07-01,Viant,Viant - APP [Display],3926.54,,,2901.19,0,0
2025-04-01,TheTradeDesk,TTD - CTV (Charter),3914.39,,,,0,0
2025-01-01,Adtheorent,Ad Theorent - APP [Display],3879.53,,,,0,0
2026-07-01,Viant,Viant - MW,3863.8,3863.8,,,0,0
2025-07-01,StackAdapt,StackAdapt - Desktop - Open Auction,3859.42,,,2861.06,0,0
2026-04-01,Demandbase,DemandBase - CTV,3857.77,,1079.56,,0,0
2025-04-01,Beeswax,Beeswax - CTV - Open Auction - Paramount,3766.97,,,,0,0
2026-01-01,Beeswax,Beeswax UR Improvement Tier 3 (Low UR),3724.72,,,,0,0
2025-07-01,SimpliFi,SimpliFi - Desktop [Display],3723.39,,,1643.36,0,0
2025-10-01,SmartyAds,SmartyAds - CTV (Plex),3722.28,,,,0,0
2025-10-01,Viant,Viant - MW [Display],3649.44,,,,0,0
2025-07-01,Adtelligent,Adtelligent - CTV,3640.08,,,157.6,0,0
2026-04-01,Octillion,Octillion - CTV - Open,3501.23,,2311.4,,0,0
2025-07-01,Viant,Viant - APP - 1st Price,3491.91,,,1518.07,0,0
2025-01-01,Adtheorent,Ad Theorent - APP Video 1st Price,3449.21,,,,0,0
2025-04-01,TheTradeDesk,TTD - Seedtag - Pub ID Swap Test,3439.48,,,,0,0
2025-04-01,Amazon DSP,Bidswitch - APP,3421.47,,,,0,0
2025-01-01,OnSpot Data,Bidswitch - CTV - 1st Price,3405.38,,,,0,0
2025-01-01,Epsilon (Conversant),Conversant - InApp - Open Auction,3381.3,,,,0,0
2025-10-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,3367.85,,,,0,0
2025-04-01,Walmart,TTD - APP,3363.92,,,,0,0
2026-07-01,,TrueX FireTV AVOD,3351.36,3351.36,,,0,0
2025-04-01,SimpliFi,SimpliFi - Desktop [Display],3305.65,,,,0,0
2025-07-01,IPONWEB BidCore,Bidswitch - CTV - 1st Price,3281.85,,,2106.48,0,0
2026-07-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),3276.9,3276.9,,,0,0
2025-10-01,TheTradeDesk,TTD - CTV (Charter),3268.07,,,,0,0
2026-04-01,TheTradeDesk,TTD - MW - 1st Price (HB),3260.38,,1855.13,,0,0
2025-07-01,SmartyAds,SmartyAds - CTV (1st Price),3257.45,,,1999.25,0,0
2025-07-01,SmartyAds,SmartyAds - CTV (Streaming Apps),3224.79,,,2163.94,0,0
2026-04-01,GroundTruth,GroundTruth Video CTV,3212.31,,1835.05,,0,0
2025-10-01,Viant,Viant - APP [Display],3191.07,,,,0,0
2025-04-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,3159.6,,,,0,0
2026-01-01,TheTradeDesk,TTD - MW [Display],3145.31,,,,0,0
2025-04-01,TheTradeDesk,TTD - MW - 1st Price (HB),3136.12,,,,0,0
2025-10-01,LoopMe,LoopMe DSP Lottery Campaign copy (deal mimic),3114.94,,,,0,0
2026-07-01,TheTradeDesk,TTD - CTV (Charter),3109.71,3109.71,,,0,0
2026-04-01,TheTradeDesk,TTD - MW [Display],3105.87,,2054.28,,0,0
2025-10-01,SmartyAds,SmartyAds - CTV (1st Price),3089.71,,,,0,0
2025-10-01,SmartyAds,SmartyAds - CTV (Paramount),3074.85,,,,0,0
2025-04-01,SmartyAds,SmartyAds - (Seedtag),3044.51,,,,0,0
2026-01-01,,TrueX FireTV Games ,3011.64,,,,0,0
2026-04-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,3005.63,,1282.78,,0,0
2025-04-01,DV360,Bidswitch - Desktop [Display],3000.7,,,,0,0
2026-01-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,2941.74,,,,0,0
2026-04-01,Viant,Viant - Desktop,2941.08,,1649.07,,0,0
2025-10-01,Walmart,TTD - APP [Display],2904.75,,,,0,0
2025-04-01,Viant,Viant - APP - 1st Price,2898.33,,,,0,0
2026-01-01,Viant,Viant - MW [Display],2897.51,,,,0,0
2025-01-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,2893.32,,,,0,0
2025-07-01,GroundTruth,GroundTruth Video CTV - No LatLong,2843.97,,,2843.97,0,0
2025-07-01,DV360,Bidswitch - APP 1st Price,2807.73,,,724.19,0,0
2026-07-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,2796.29,2796.29,,,0,0
2025-10-01,SmartyAds,SmartyAds - CTV (Streaming Apps),2789.78,,,,0,0
2026-04-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,2779.85,,1073.47,,0,0
2025-04-01,DV360,Bidswitch - APP 1st Price,2757.91,,,,0,0
2025-01-01,Beeswax,Beeswax - App - Open Auction,2757.85,,,,0,0
2025-01-01,535Media,535Media - oRTB CTV,2740.25,,,,0,0
2025-04-01,DV360,Bidswitch - APP,2721.19,,,,0,0
2026-04-01,Epsilon (Conversant),Conversant - Web - Open Auction - Seedtag,2703.6,,2703.6,,0,0
2026-04-01,Viant,Viant - MW [Display],2698.63,,1354.53,,0,0
2025-01-01,SmartyAds,SmartyAds - CTV (1st Price),2650.04,,,,0,0
2025-10-01,Marketing Architects -RTB,Marketing Architects - OTT,2649.73,,,,0,0
2025-07-01,SmartyAds,SmartyAds - (Seedtag),2597.73,,,976.98,0,0
2025-10-01,TheTradeDesk,TTD - MW [Display],2594.24,,,,0,0
2026-01-01,GroundTruth,GroundTruth Video CTV,2588.82,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant - Web - Open Auction - Display,2560.45,,,1173.45,0,0
2025-01-01,Beeswax,Beeswax - Display - Desktop/MW,2546.21,,,,0,0
2025-10-01,Lemma DSP,Lemma DSP Inapp Video,2535.41,,,,0,0
2026-01-01,TheTradeDesk,TTD - Desktop [Display],2517.64,,,,0,0
2025-10-01,Beeswax,Beeswax UR Improvement Tier 3 (Low UR),2511.0,,,,0,0
2026-01-01,Adtelligent,Adtelligent - CTV,2474.59,,,,0,0
2025-01-01,Adtelligent,Adtelligent - CTV,2469.23,,,,0,0
2025-01-01,SmartyAds,SmartyAds - CTV (Paramount),2464.42,,,,0,0
2025-07-01,Viant,Viant - CTV (Charter),2433.35,,,486.5,0,0
2025-04-01,Viant,Viant - CTV (Charter),2433.13,,,,0,0
2025-07-01,DV360,Bidswitch - MW [Display],2416.29,,,1963.23,0,0
2025-01-01,Storygize,Storygize - Desktop (1st Price),2396.76,,,,0,0
2026-01-01,Demandbase,DemandBase - CTV,2386.18,,,,0,0
2026-01-01,Basis Technologies,Basis - CTV - oRTB - (Canada),2368.93,,,,0,0
2026-04-01,TheTradeDesk,TTD - Desktop [Display],2367.17,,1606.22,,0,0
2026-04-01,TheTradeDesk,TTD - CTV (LATAM),2353.86,,1280.71,,0,0
2025-01-01,Viant,Viant - CTV (Charter),2346.75,,,,0,0
2025-07-01,Krush Media,Krush Media Video - CTV Direct (700),2344.03,,,2103.88,0,0
2025-04-01,OnSpot Data,Bidswitch - CTV - 1st Price,2342.86,,,,0,0
2025-01-01,DV360,Bidswitch - MW - 1st Price (HB),2324.87,,,,0,0
2026-01-01,Adtelligent,Adtelligent - CTV (Price Targeted),2314.66,,,,0,0
2025-10-01,,TrueX FireTV Games ,2291.52,,,,0,0
2025-07-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,2269.7,,,818.17,0,0
2026-07-01,Yahoo DSP,SEEDTAG (DON'T USE),2267.57,2267.57,,,0,0
2026-01-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,2264.28,,,,0,0
2025-10-01,DV360,Bidswitch - CTV - 1st Price (Bundle 151908),2256.39,,,,0,0
2025-07-01,Marketing Architects -RTB,Marketing Architects - CTV - EW Scripps LAT,2250.37,,,925.13,0,0
2026-04-01,,TrueX FireTV Games ,2225.82,,897.96,,0,0
2025-10-01,Adtelligent,Adtelligent - CTV (Price Targeted),2212.06,,,,0,0
2026-04-01,Basis Technologies,Centro Display InApp,2191.02,,906.67,,0,0
2025-01-01,DV360,Bidswitch - APP Display,2181.39,,,,0,0
2025-04-01,Krush Media,Krush Media Video - CTV Direct (700),2167.66,,,,0,0
2025-01-01,Sharethrough,Sharethrough CTV Video - Targeting away from Not Approved list,2162.91,,,,0,0
2025-01-01,Epsilon (Conversant),Conversant - CTV - Open Auction (Charter),2143.0,,,,0,0
2026-07-01,Viant,Viant - CTV (Charter),2133.73,2133.73,,,0,0
2026-04-01,Viant,Viant - Desktop - 1st Price,2117.99,,1372.97,,0,0
2025-10-01,Sharethrough,Sharethrough InApp Video (Open Auction),2113.19,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant - InApp - Open Auction,2099.19,,,1127.76,0,0
2026-07-01,Epsilon (Conversant),Conversant - CTV - Open Auction,2097.84,2097.84,,,0,0
2025-01-01,GroundTruth,GroundTruth Display,2094.19,,,,0,0
2026-04-01,Sharethrough,Sharethrough InApp Video (Open Auction),2043.75,,1415.01,,0,0
2025-04-01,4INFO,4INFO - CTV - 1st Price,2019.67,,,,0,0
2025-04-01,Epsilon (Conversant),Conversant - Web - Open Auction - Video,2011.92,,,,0,0
2026-07-01,TheTradeDesk,Seedtag,2003.63,2003.63,,,0,0
2025-01-01,Krush Media,Krush Media Video - CTV Direct (700),1979.4,,,,0,0
2026-04-01,Walmart,TTD - CTV (1st Price),1978.98,,1015.71,,0,0
2025-10-01,IPONWEB BidCore,Bidswitch - CTV - 1st Price,1943.39,,,,0,0
2026-04-01,Yahoo DSP,SEEDTAG (DON'T USE),1919.74,,,,0,0
2026-07-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,1915.12,1915.12,,,0,0
2026-07-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,1903.49,1903.49,,,0,0
2025-07-01,Epsilon (Conversant),Conversant Philo CTV (125613),1892.97,,,1442.93,0,0
2026-04-01,TheTradeDesk,SEEDTAG (DON'T USE),1874.46,,,,0,0
2025-07-01,DV360,Bidswitch - Desktop [Display],1828.5,,,1292.74,0,0
2026-07-01,LoopMe,LoopMe DSP Lottery Campaign copy (deal mimic),1819.82,1819.82,,,0,0
2026-01-01,Infillion,Bidswitch - CTV - 1st Price,1810.89,,,,0,0
2025-07-01,Beeswax,Beeswax UR Improvement Tier 3 (Low UR),1785.41,,,235.48,0,0
2026-01-01,Basis Technologies,Centro Display Web,1778.54,,,,0,0
2026-01-01,Viant,Viant - APP [Display],1745.49,,,,0,0
2026-04-01,Viant,Viant - APP [Display],1690.09,,503.72,,0,0
2025-10-01,Epsilon (Conversant),Conversant - Web - Open Auction - Display,1684.31,,,,0,0
2025-01-01,TheTradeDesk,TTD - Seedtag - Pub ID Swap Test,1666.47,,,,0,0
2026-07-01,Viant,SEEDTAG (DON'T USE),1649.98,1649.98,,,0,0
2025-04-01,GroundTruth,GroundTruth Video CTV - Efficiency Monitoring,1645.11,,,,0,0
2026-04-01,TheTradeDesk,TTD - CTV - oRTB (Canada),1634.96,,607.15,,0,0
2026-04-01,Walmart,TTD - APP [Display],1625.27,,937.51,,0,0
2025-10-01,TheTradeDesk,TTD - Desktop [Display],1615.92,,,,0,0
2025-04-01,Adtelligent,Adtelligent - CTV,1612.02,,,,0,0
2025-04-01,SmartyAds,SmartyAds - Web [Display],1611.23,,,,0,0
2026-01-01,DeepIntent,DeepIntent CTV OLV Demand,1596.79,,,,0,0
2025-01-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,1566.76,,,,0,0
2026-07-01,Viant,Viant - MW [Display],1544.9,1544.9,,,0,0
2026-01-01,TheTradeDesk,TTD - CTV (Charter),1533.82,,,,0,0
2026-04-01,Sharethrough,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,1533.5,,158.66,,0,0
2026-07-01,DBM,SEEDTAG (DON'T USE),1530.02,1530.02,,,0,0
2025-10-01,DeepIntent,DeepIntent CTV OLV Demand,1516.88,,,,0,0
2025-01-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price (Hearst),1484.56,,,,0,0
2025-07-01,Viant,Viant - Desktop [Display],1477.47,,,954.37,0,0
2025-10-01,,0,1460.53,,,,0,0
2025-10-01,Knorex,Bidswitch - Seedtag,1449.71,,,,0,0
2025-04-01,Lemma DSP,Lemma DSP Inapp Video,1439.89,,,,0,0
2025-01-01,SmartyAds,SmartyAds - Web [Display],1435.3,,,,0,0
2026-01-01,TheTradeDesk,TTD - CTV (LATAM),1419.71,,,,0,0
2026-04-01,Viant,SEEDTAG (DON'T USE),1414.1,,,,0,0
2025-10-01,,TrueX FireTV AVOD,1410.08,,,,0,0
2025-07-01,Seedtag,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,1405.73,,,1405.73,0,0
2025-04-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,1400.36,,,,0,0
2025-04-01,Demandbase,DemandBase - CTV,1365.43,,,,0,0
2026-07-01,Walmart,TTD - CTV (1st Price),1353.89,1353.89,,,0,0
2025-01-01,DV360,Bidswitch - Seedtag,1350.96,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant Vizio CTV (203828),1347.56,,,992.5,0,0
2025-10-01,Krush Media,Krush Media Web Video,1321.24,,,,0,0
2025-07-01,TheTradeDesk,TTD - Desktop [Display],1300.23,,,779.16,0,0
2025-04-01,Beeswax,Beeswax UR Improvement Tier 3 (Low UR),1296.98,,,,0,0
2026-01-01,,Test PSA Ads,1295.35,,,,0,0
2025-07-01,OnSpot Data,Bidswitch - CTV - 1st Price,1293.37,,,649.48,0,0
2025-10-01,Krush Media,Krush Media Video - CTV Direct (700),1289.93,,,,0,0
2025-07-01,Demandbase,DemandBase - CTV,1285.82,,,642.24,0,0
2025-07-01,DV360,Bidswitch - Desktop - 1st Price (HB),1274.75,,,714.74,0,0
2026-01-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,1266.16,,,,0,0
2025-07-01,Krush Media,Krush Media Web Video,1242.57,,,194.34,0,0
2025-04-01,Epsilon (Conversant),Conversant Philo CTV (125613),1242.31,,,,0,0
2025-07-01,Epsilon (Conversant),Conversant - Web - Open Auction - Video,1235.1,,,782.57,0,0
2025-04-01,DV360,Bidswitch - APP Display,1233.52,,,,0,0
2026-01-01,Viant,Viant - APP - 1st Price,1221.23,,,,0,0
2025-10-01,DV360,Bidswitch - MW - 1st Price (HB),1207.59,,,,0,0
2025-01-01,Adtelligent,Adtelligent - CTV (Fubo),1207.42,,,,0,0
2026-01-01,Marketing Architects -RTB,Marketing Architects - OTT,1201.4,,,,0,0
2025-01-01,Amazon DSP,Bidswitch - APP 1st Price,1193.0,,,,0,0
2025-10-01,StackAdapt,StackAdapt - Desktop - Open Auction,1187.45,,,,0,0
2026-07-01,Equativ,Seedtag,1169.8,1169.8,,,0,0
2025-01-01,Beeswax,Beeswax Deal - CTV - TEGNA,1140.89,,,,0,0
2026-07-01,Sharethrough,Sharethrough Web (Open Auction),1132.57,1132.57,,,0,0
2025-01-01,Viant,Viant - Desktop - 1st Price,1131.24,,,,0,0
2026-01-01,Viant,Viant - APP,1129.34,,,,0,0
2025-04-01,Amobee,Amobee - Desktop/MW [Display],1124.71,,,,0,0
2025-10-01,Viant,Viant - APP,1120.89,,,,0,0
2026-04-01,Epsilon (Conversant),Conversant - InApp - Open Auction,1120.45,,575.92,,0,0
2025-07-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,1114.56,,,163.86,0,0
2025-10-01,Adtheorent,Ad Theorent - Desktop/MW Display,1095.4,,,,0,0
2026-04-01,DBM,SEEDTAG (DON'T USE),1094.53,,,,0,0
2025-10-01,Viant,Viant - Desktop [Display],1080.16,,,,0,0
2025-10-01,Viant,Viant - APP - 1st Price,1078.88,,,,0,0
2026-01-01,Walmart,TTD - APP [Display],1075.29,,,,0,0
2025-07-01,SmartyAds,SmartyAds - Web [Display],1072.47,,,517.31,0,0
2025-04-01,Storygize,Storygize - MW (1st Price),1071.02,,,,0,0
2025-01-01,SmartyAds,SmartyAds - (Seedtag),1066.66,,,,0,0
2025-04-01,Storygize,Storygize - Desktop (1st Price),1058.74,,,,0,0
2025-01-01,Amazon DSP,Bidswitch - MW - 1st Price (HB),1055.76,,,,0,0
2025-07-01,DV360,Bidswitch - MW - 1st Price (HB),1053.42,,,607.84,0,0
2025-07-01,SmartyAds,SmartyAds - CTV (Plex),1051.71,,,265.46,0,0
2025-07-01,Marketing Architects -RTB,Marketing Architects - OTT,1017.4,,,486.44,0,0
2025-07-01,Octillion,Octillion - CTV - Open,1014.84,,,293.2,0,0
2025-10-01,Walmart,TTD - Desktop - 1st Price (HB),1010.9,,,,0,0
2025-04-01,Beeswax,Beeswax - Display - Desktop/MW,1009.03,,,,0,0
2026-07-01,Viant,Viant - Desktop,1005.61,1005.61,,,0,0
2025-01-01,SmartyAds,SmartyAds - App [Display],1005.26,,,,0,0
2025-10-01,OnSpot Data,Bidswitch - CTV - 1st Price,1002.59,,,,0,0
2026-07-01,Demandbase,DemandBase - CTV,1001.66,1001.66,,,0,0
2026-07-01,GroundTruth,GroundTruth Video CTV,998.55,998.55,,,0,0
2025-01-01,Amazon DSP,Bidswitch - APP,992.64,,,,0,0
2026-01-01,Viant,Viant - Desktop [Display],992.04,,,,0,0
2025-07-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,986.57,,,283.8,0,0
2026-01-01,Walmart,TTD - APP,984.25,,,,0,0
2026-07-01,,TrueX FireTV Games ,981.0,981.0,,,0,0
2026-04-01,LoopMe,LoopMe DSP Lottery Campaign copy (deal mimic),978.97,,443.86,,0,0
2025-10-01,4INFO,4INFO - CTV - 1st Price,976.84,,,,0,0
2026-07-01,TheTradeDesk,TTD - MW - 1st Price (HB),974.36,974.36,,,0,0
2026-07-01,TheTradeDesk,TTD - MW [Display],917.41,917.41,,,0,0
2025-10-01,,The Smashing Machine,897.0,,,,0,0
2025-07-01,TheTradeDesk,TTD - CTV (Charter),887.27,,,285.47,0,0
2026-07-01,Basis Technologies,Centro Display InApp,879.86,879.86,,,0,0
2025-10-01,Epsilon (Conversant),Conversant - Web - Open Auction - Video,869.5,,,,0,0
2026-07-01,SmartyAds,SmartyAds - CTV (1st Price),865.78,865.78,,,0,0
2025-04-01,Octillion,Octillion - CTV - Open,862.48,,,,0,0
2025-10-01,Basis Technologies,Basis - CTV - oRTB - (Canada),854.34,,,,0,0
2026-04-01,,2605 - MGMPLUS - MAY 2026 - XCH - MGMP23448-13 - SERIES ,843.44,,,,0,0
2025-01-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,841.27,,,,0,0
2026-07-01,SmartyAds,SmartyAds - CTV (Plex),839.92,839.92,,,0,0
2026-07-01,DV360,Bidswitch - Desktop [Display],838.81,838.81,,,0,0
2025-10-01,,2511 - MGMPLUS - ROBIN HOOD PROMO - MGMPHD363301-01  (SERIES),826.72,,,,0,0
2026-07-01,Viant,Viant - APP [Display],822.59,822.59,,,0,0
2025-07-01,Lemma DSP,Lemma DSP Inapp Video,820.17,,,604.24,0,0
2026-01-01,SundaySky,SundaySky - MW - 1st Price,817.59,,,,0,0
2025-01-01,Walmart,TTD - APP [Display],806.13,,,,0,0
2026-01-01,Epsilon (Conversant),Conversant - Web - Open Auction - Display,802.99,,,,0,0
2026-04-01,Infillion,Bidswitch - CTV - 1st Price,798.44,,492.78,,0,0
2026-04-01,Knorex,Bidswitch - CTV - 1st Price,792.46,,471.92,,0,0
2025-01-01,Octillion,Octillion - CTV - Open,784.16,,,,0,0
2026-01-01,TheTradeDesk,TTD - CTV (UK) ,783.04,,,,0,0
