quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross
2026-04-01,Direct,DSP Marketplace - BFM,CTV,IQM,IQM,0.93
2025-01-01,BidSwitch,Open Auction - BFM,CTV,Knorex,Knorex,0.92
2025-01-01,Direct,Open Auction - BFM,CTV,BizzClick,BizzClick,0.9
2025-01-01,Direct,DSP Marketplace - BFM,CTV,DSP Not Found,Other,0.88
2025-04-01,Direct,Open Auction - BFM,CTV,Media Pulse,Media Pulse,0.84
2025-01-01,Direct,Select - BFM,CTV,MadHive,MadHive,0.82
2025-04-01,BidSwitch,Open Auction - BFM,CTV,Between Exchange,Between Exchange,0.77
2026-01-01,Direct,Open Auction - BFM,CTV,Zeasn,Zeasn,0.76
2025-10-01,BidSwitch,Open Auction - BFM,Display,Knorex,Knorex,0.71
2026-07-01,Direct,Open Auction - BFM,Display,Beeswax,Beeswax,0.7
2026-01-01,BidSwitch,Open Auction - BFM,Display,Streamworx Lda.,Streamworx Lda.,0.66
2025-04-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.64
2025-04-01,BidSwitch,Open Auction - BFM,Display,Aroscop,Aroscop,0.63
2026-04-01,BidSwitch,Open Auction - BFM,CTV,IPONWEB BidCore,IPONWEB BidCore,0.61
2025-04-01,Direct,DSP Marketplace - BFM,CTV,4INFO,4INFO,0.57
2026-07-01,Direct,Open Auction - BFM,CTV,RtbHouse,RtbHouse,0.57
2026-07-01,Direct,Open Auction - BFM,CTV,Zeasn,Zeasn,0.56
2026-01-01,Direct,Open Auction - BFM,CTV,Stirista,Stirista,0.54
2025-04-01,Direct,PMP Web - O&O,Online Video,RtbHouse,RtbHouse,0.53
2025-01-01,BidSwitch,Open Auction - BFM,Display,Lift,Lift,0.53
2026-07-01,Direct,Open Auction - BFM,Display,IQM,IQM,0.51
2025-01-01,Direct,DSP Marketplace - BFM,Display,SimpliFi,SimpliFi,0.45
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Aceex,Aceex,0.44
2026-04-01,Direct,Select - BFM,CTV,SmartyAds,SmartyAds,0.41
2025-07-01,BidSwitch,Select - BFM,CTV,Sportradar,Sportradar,0.39
2026-04-01,Direct,Open Auction - BFM,Display,Stirista,Stirista,0.36
2026-07-01,BidSwitch,Open Auction - BFM,Display,AdIngenious,AdIngenious,0.33
2026-04-01,BidSwitch,Open Auction - BFM,Display,Quantcast,Quantcast,0.32
2025-01-01,Direct,DSP Marketplace - BFM,CTV,SmartyAds,SmartyAds,0.31
2025-10-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.31
2025-07-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.3
2025-07-01,BidSwitch,Open Auction - BFM,Display,Samsung DSP,Samsung DSP,0.3
2026-04-01,BidSwitch,Open Auction - BFM,Display,Between Exchange,Between Exchange,0.29
2025-10-01,BidSwitch,Open Auction - BFM,Display,Excelate,Excelate,0.28
2026-07-01,BidSwitch,Open Auction - BFM,CTV,Samsung DSP,Samsung DSP,0.27
2025-04-01,Direct,DSP Marketplace - BFM,Display,Yahoo DSP,Yahoo DSP,0.26
2025-01-01,BidSwitch,Open Auction - BFM,Display,AdElement,AdElement,0.25
2026-07-01,BidSwitch,Open Auction - BFM,Display,Marketperf,Marketperf,0.24
2026-01-01,Direct,Open Auction - BFM,CTV,Cepia,Cepia,0.22
2025-04-01,Direct,Open Auction - BFM,CTV,BidSwitch,Bidswitch,0.21
2025-10-01,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,IPONWEB BidCore,0.2
2025-01-01,Direct,DSP Marketplace - BFM,Display,Yahoo DSP,Yahoo DSP,0.2
2025-07-01,BidSwitch,Open Auction - BFM,CTV,Adform,Adform,0.2
2025-07-01,Direct,Open Auction - BFM,Display,BidSwitch,Bidswitch,0.19
2026-07-01,BidSwitch,Open Auction - BFM,Display,Knorex,Knorex,0.19
2026-04-01,BidSwitch,Open Auction - BFM,Display,Aroscop,Aroscop,0.19
2025-07-01,Direct,DSP Marketplace - BFM,CTV,4INFO,4INFO,0.18
2026-04-01,Direct,Open Auction - BFM,CTV,Stirista,Stirista,0.18
2025-04-01,Direct,DSP Marketplace - BFM,CTV,SmartyAds,SmartyAds,0.17
2025-07-01,BidSwitch,Open Auction - BFM,Display,Lift,Lift,0.17
2026-04-01,Direct,PMP External Web,Display,Xandr,AppNexus,0.16
2026-01-01,Direct,Open Auction - BFM,CTV,4INFO,4INFO,0.13
2026-04-01,Direct,Open Auction - BFM,CTV,ZetaBidswitch,ZetaBidswitch,0.13
2025-10-01,BidSwitch,Open Auction - BFM,CTV,Adform,Adform,0.13
2026-07-01,BidSwitch,Open Auction - BFM,Display,Zeta DSP,Zeta DSP,0.12
2025-07-01,BidSwitch,Open Auction - BFM,Display,Between Exchange,Between Exchange,0.12
2026-01-01,BidSwitch,Open Auction - BFM,CTV,Adform,Adform,0.11
2025-04-01,BidSwitch,Open Auction - BFM,CTV,Adform,Adform,0.11
2025-07-01,Direct,DSP Marketplace - BFM,Display,Beeswax,Beeswax,0.11
2026-07-01,BidSwitch,Open Auction - Seedtag,Online Video,Madopi,Madopi,0.1
2026-04-01,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,IPONWEB BidCore,0.1
2026-04-01,Direct,Open Auction - BFM,CTV,Equativ,Equativ,0.09
2025-07-01,BidSwitch,Open Auction - BFM,Display,Amazon DSP,Amazon DSP,0.08
2025-07-01,BidSwitch,Open Auction - BFM,CTV,Between Exchange,Between Exchange,0.07
2026-01-01,BidSwitch,Open Auction - BFM,Display,Madopi,Madopi,0.07
2025-01-01,Direct,Select - BFM,CTV,Adtelligent,Adtelligent,0.07
2026-04-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.07
2025-01-01,BidSwitch,Open Auction - BFM,Display,Amazon DSP,Amazon DSP,0.05
2026-07-01,BidSwitch,Open Auction - BFM,Display,Aroscop,Aroscop,0.05
2026-07-01,Direct,Open Auction - BFM,Display,BidSwitch,Bidswitch,0.05
2026-04-01,BidSwitch,PMP CTV - O&O,CTV,Amazon DSP,Amazon DSP,0.05
2026-07-01,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,IPONWEB BidCore,0.05
2026-01-01,BidSwitch,Open Auction - BFM,Display,IPONWEB BidCore,IPONWEB BidCore,0.04
2025-10-01,BidSwitch,Open Auction - BFM,CTV,Between Exchange,Between Exchange,0.04
2025-01-01,BidSwitch,Open Auction - BFM,CTV,Webeye,Webeye,0.04
2026-07-01,BidSwitch,Open Auction - BFM,Display,Webeye,Webeye,0.03
2025-10-01,Direct,Open Auction - BFM,CTV,Stirista,Stirista,0.03
2026-01-01,Direct,Open Auction - BFM,Display,BidSwitch,Bidswitch,0.03
2025-01-01,BidSwitch,Open Auction - BFM,Display,Adform,Adform,0.03
2026-07-01,Direct,Open Auction - BFM,Display,Stirista,Stirista,0.03
2026-04-01,Direct,DSP Marketplace - BFM,Display,Conversant,Epsilon (Conversant),0.03
2026-04-01,BidSwitch,Open Auction - BFM,CTV,Quantcast,Quantcast,0.03
2025-10-01,BidSwitch,Open Auction - BFM,Display,Adform,Adform,0.02
