m,bl,dsp,cva,ad,did,rev
2025-10-01,Open Auction - BFM,Xandr,—,Xandr STB VOD,,0.0
2025-09-01,Select - BFM,Bidswitch,33Across,33Across_Quantum_CustomComfortMattress__OLV_BFM,33Acr40,0.0
2025-09-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Datafy - Holiday Travel Seasonal - Q4,Datafy6204970307,0.0
2025-11-01,Open Auction - BFM,Cepia,—,Mighty Wheels October 2025,,0.19
2026-07-01,Open Auction - BFM,Amobee,—,Seedtag,,6401.42
2026-07-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - Desktop [Display],,0.58
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Maternal & Family Health Advocates - Connected TV,STNXCTV025,0.0
2026-07-01,Open Auction - BFM,AdIngenious,—,Bidswitch - APP Display,,0.66
2026-07-01,Open Auction - BFM,Seedtag POC,—,Seedtag,,0.0
2025-09-01,Open Auction - BFM,Bidswitch,—,Bidswitch - Desktop [Display],,0.02
2025-09-01,Select - BFM,Viant,IRIS,Viant - Sonnys BBQ - Emotional CTV_BFM,IRIS00352,342.63
2025-09-01,Open Auction - BFM,Stirista,—,Stirista - MW [Display],,0.35
2025-07-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (COOK),117310551350,0.0
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Family-Focused Shoppers - Connected TV,STNXCTV030,0.0
2026-08-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - Desktop - 1st Price (HB),,0.7
2025-10-01,Select - BFM,TheTradeDesk,Media Culture,INSP,Media14,0.23
2025-10-01,Open Auction - BFM,Viant,—,Viant - MW [Display],,525.03
2025-09-01,Select - BFM,TheTradeDesk,Strategus,TTD Deal - Strategus - Web/App Display - $2-$5,Strat63,0.0
2025-09-01,DSP Marketplace - BFM,Viant,—,Viant - Linear (Adults),316829879699,0.0
2025-09-01,Open Auction - BFM,Viant,—,Viant - Desktop - 1st Price,,3605.48
2025-11-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - CTV (AMC),,0.13
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV (Sports - Live Game),966310467171,0.0
2025-10-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - OTT - Skechers 2025 - Men 45+ - Sports,343798267566,0.0
2025-08-01,Open Auction - BFM,Amobee,—,0,,0.0
2025-12-01,Select - BFM,DV360,Infillion Demand,Pulte RON - Display 2,InfPulteRON2,137.48
2025-07-01,Open Auction - BFM,Viant,—,0,389866043594,0.0
2025-12-01,Open Auction - BFM,BizzClick,—,BizzClick - App (Indirect),,0.0
2025-11-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - Seedtag,,0.0
2026-07-01,Open Auction - BFM,StackAdapt,—,StackAdapt - CTV - Open Auction - Efficiency Monitoring,,9850.7
2025-09-01,DSP Marketplace - BFM,IQM,BFM Internal,IQM - CTV - AMC Network - Channel - Adjusted - Politics Allowed,IQM002,0.96
2025-12-01,Open Auction - BFM,Basis Technologies,—,Centro Display InApp,,4941.24
2025-12-01,Select - BFM,Bidswitch,IRIS,GumGum - Cendyn - Royalton - Brand Safe CTV_BFM,IRIS00290,0.0
2025-08-01,Open Auction - BFM,—,—,F0037326 FSR GENÉRICA V2 TEXTOS 25S,,0.0
2026-08-01,Open Auction - BFM,Beeswax,—,Beeswax UR Improvement Tier 2 (Mid UR),,7603.97
2026-08-01,Open Auction - BFM,Between Exchange,—,Bidswitch - Desktop [Display],,0.0
2026-08-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds Bravo Deals - CTV,Beach206,0.0
2025-12-01,Open Auction - BFM,SundaySky,—,SundaySky - MW - 1st Price,,1403.29
2025-10-01,Open Auction - BFM,Bidswitch,—,Bidswitch - MW [Display],,0.0
2025-09-01,Open Auction - BFM,Adtelligent,—,Adtelligent - CTV (Fubo),,85.58
2025-09-01,DSP Marketplace - BFM,Beeswax,—,TMS_Beeswax_May,437268540530,0.0
2025-09-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Daytime TV,Aki6,0.03
2025-12-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - CTV - 1st Price (Bundle 151908),,59.61
2025-09-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - Univision,318028617508,2.92
2025-07-01,Open Auction - BFM,—,—,VTV VERTA  Dummy Ad_New Test,,0.0
2025-08-01,Open Auction - BFM,Viant,—,Viant - APP - 1st Price,,914.11
2025-07-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - Seedtag,,0.0
2025-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Deal - CTV - Fox (Exlcuding Fox Sports),581367911451,0.82
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - Hearst,976376076663,4.71
2025-07-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Curation,Octillion Deal - CTV - Tubi - Channel Targeted,397917904122,21.72
2025-12-01,Open Auction - BFM,—,—,Yahoo - CTV - Open Auction,,0.0
2025-09-01,Open Auction - BFM,—,—,F0040337 NFL PHIL VS BUCS + RAV VS CHIE FS DOMINGO 30,,0.0
2025-07-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - WURL,938325696044,0.0
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Curation,TTD Deal - HavasEdge - CTV (Hearst News),312505503259,0.0
2025-08-01,Open Auction - BFM,StackAdapt,—,StackAdapt Deal - CTV (Spanish Language),298330405897,0.0
2026-07-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive Deal - CTV - Vizio - No Content Data,848047441598,461.39
2025-09-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - CTV - 1st Price,,463.37
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Spanish Language Sports US - ctv,Audig1782,0.0
2025-08-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - AMC,135878418139,1783.98
2025-11-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Gambling and Sports Betting Category Targeting - Video/CTV,Beach113,4272.4
2026-08-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Financial Professionals & Advisors - Connected TV,STNXCTV010,0.03
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - Tax Season - Contextual CTV,Beach221,0.28
2026-08-01,Select - BFM,TheTradeDesk,Strategus,Strategus - TTD Deal - Tubi - Bundle List - CTV,Strat70,0.0
2025-11-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - FOX,277471236734,19.42
2025-12-01,Open Auction - BFM,Bidswitch,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2025-12-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - CTV - Roku - MIQ - Mexico,778660458515,0.0
2025-11-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Deal - Desktop Web - Always On - Video,Beach189,0.0
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD - CTV - Captify $15 Below,730946633654,13.06
2025-07-01,Open Auction - BFM,Walmart,—,TTD - APP - 1st Price,,0.18
2025-10-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - Web - Open Auction - Display,,330.32
2025-08-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Morning News,Aki5,184.88
2025-12-01,Open Auction - BFM,Beeswax,—,Beeswax Deal - CTV - VideoAmp - FEP,118866276082,0.0
2025-08-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,Yahoo - Casual IQ - Sports Content  - CTV - Contextual,473918206754,0.0
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Desktop [Display] (RON DSPolitical),991281702111,0.0
2025-10-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Men 45+ - Sports,558690500585,9.57
2025-07-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - CTV (Charter),,0.03
2026-07-01,DSP Marketplace - BFM,Basis Technologies,BFM Internal,Basis Deal - CTV Genre - News,BFM025,1022.92
2025-11-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Entertainment,Beach164,364.61
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Chick-fil-A Visitors - Banner,Quoru91,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Dairy Queen Visitors - CTV,Quoru94,0.42
2025-09-01,Open Auction - BFM,Lemma DSP,—,Lemma DSP CTV Ad,,33300.82
2025-11-01,Select - BFM,AdElement,Quorum,Quorum > Weekend Shoppers > Physical Visitors,Quoru202,0.0
2026-08-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Health & Wellness Food Advocates - Connected TV,STNXCTV027,0.01
2025-11-01,Open Auction - BFM,Marketing Architects -RTB,—,0,,0.0
2025-10-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - Web - Open Auction - Video,,577.63
2025-09-01,Select - BFM,TheTradeDesk,Infillion Demand,ez cater | HR Leaders | CTV,ezCBizInfilBeachHRVidCTV,0.0
2025-10-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Magnolia and HGTV - CTV - Viant Deal,738509621475,88.16
2025-09-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - $0-$17 (No Samsung/Paramount),Strat37,11.48
2025-09-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - Baseball Live - Channel + Networks,Strat75,1.58
2025-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,NBA - Live - CTV - Contextual - Tentpole Deal - Conversant,Beach129,7.81
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,JamLoop Deal -  OLV - Yakima-Pasco-Rchlnd-Knnwck DMA,517332759399,0.0
2025-09-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Migration,SimpliFi Deal - CTV Roku,542169059668,6623.73
2025-10-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - APP Display,,0.0
2025-09-01,Open Auction - BFM,Streamworx Lda.,—,Bidswitch - MW - 1st Price (HB),,0.22
2025-09-01,DSP Marketplace - BFM,MadHive,Beachfront Deal Migration,MadHive Deal - CTV (Alcohol),110295217642,724.41
2025-10-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - CTV - Open Auction,,7613.11
2025-10-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV (P)-SPF,430109082311,4831.32
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Baskin Robbins Visitors - CTV,Quoru86,0.33
2025-07-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Curation,Octillion Deal - CTV - Fawesome TV - Bundles,630236677403,0.0
2025-08-01,DSP Marketplace - BFM,SimpliFi,—,Simplifi Deal - Fubo CTV (Sports),514795661260,3.47
2025-08-01,DSP Marketplace - BFM,—,Beachfront Deal Curation,Conversant Deal - CTV - Political RON,513073226453,0.0
2026-07-01,DSP Marketplace - BFM,TheTradeDesk,BFM Internal,TTD Deal - Bully Pulpit CTV (Local News),154412565624,61.81
2025-11-01,Open Auction - BFM,Amazon DSP,—,Bidswitch - Desktop [Display],,0.0
2025-11-01,Open Auction - BFM,TheTradeDesk,—,TTD - CTV (1st Price),,198342.82
2025-12-01,Select - BFM,Bidswitch,MultiLocal,T9_mlm_TA_CA_CT_CTV_BF_MLMBRID4972,Multi25,0.0
2025-12-01,Select - BFM,TheTradeDesk,Quorum,Quorum - Sports Fans - Physical Visitors,Quoru227,0.0
2026-08-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,JamLoop Deal - CTV - Cable Broadcast - Scripps-Newsy,855918727592,12.72
2026-08-01,Open Auction - BFM,Sharethrough,—,Sharethrough CTV Video,,484.31
