m,bl,dsp,cva,ad,did,rev
2025-08-01,Open Auction - BFM,—,—,F0033755 UFC FSP GENÉRICA VALS-METAL 20,,0.0
2025-09-01,Open Auction - BFM,DV360,—,Bidswitch - MW - 1st Price (HB),,278.25
2025-12-01,Open Auction - BFM,DV360,—,Bidswitch - CTV - 1st Price,,21938.67
2025-12-01,Open Auction - BFM,Viant,—,Viant - CTV (Charter),,2670.03
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Wendy's Visitors - Banner,Quoru75,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > Viant > High Index Zips - McDonald's Visitors - Banner,Quoru55,0.0
2025-07-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - Live Sports,BFM105,0.41
2025-08-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - At Home Workouts (Health and Wellness),Aki27,15.38
2025-07-01,Open Auction - BFM,Bidswitch,—,T-Ads_Display_Beachfront_Multipub_$0.5,,0.0
2025-11-01,Open Auction - BFM,—,—,F0041398 NFL STEELERS VS BEARS + BROWNS VS RAIDERS DOMINGO 30,,0.0
2025-09-01,DSP Marketplace - BFM,SimpliFi,—,SimpliFi Deal - CTV (RON) Samba Targeted Football Viewers,993808143955,4.23
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Health & Wellness Food Advocates - Connected TV,STNXCTV027,0.0
2026-07-01,Open Auction - BFM,—,—,F0047460 MLS LUN A VIE 6PM 15,,0.0
2026-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Reality,Beach178,670.7
2026-08-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - McDonald's Visitors - Banner,Quoru55,0.06
2025-09-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - Fuse TV,187878729747,12.0
2025-08-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Curation,Octillion Deal - CTV - Tubi - Channel Targeted,397917904122,21.79
2025-08-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - English Language US - ctv,Audig1779,1.98
2025-08-01,Open Auction - BFM,—,—,F0037958 F1 ACADEMY GENERICA VERSION 2 2025 20,,0.0
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - HavasEdge - OTT RON,676738569288,0.0
2025-09-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - APP 1st Price,,0.08
2025-12-01,Open Auction - BFM,GroundTruth,—,GroundTruth Video CTV - Efficiency Monitoring,,4.17
2025-12-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV -  CBS Bundle Override (Price Targeted),MH42,3161.13
2025-11-01,Open Auction - BFM,Infillion,—,Bidswitch - APP,,5.35
2025-11-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Q11 - West Coast College - Graduates Contextual CTV_BFM,IRIS00360,850.34
2025-09-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV -  CBS Bundle Override (Price Targeted),MH42,7225.36
2025-11-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Entertainment,105507977165,4288.58
2025-07-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (HGTV),622702612798,0.04
2025-07-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV - All Supply w/ Network Data,BFM037,49.03
2025-10-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - Shopping Mall Visitors - CTV,Quoru183,0.0
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - InApp - Open Auction,,621.37
2025-07-01,Open Auction - BFM,—,—,Bidswitch - CTV - 1st Price,,0.0
2025-09-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - CTV - AudienceXpress - RON - Efficiency Monitoring,765218873628,0.43
2025-12-01,Open Auction - BFM,—,—,F0044516 LUP ESPECIAL FIN 2025 HOY 20s,,0.0
2025-11-01,Open Auction - BFM,Krush Media,—,Krush Media Video - CTV Direct (700),,333.2
2026-07-01,Open Auction - BFM,—,—,F0047531 GOTF ASTANA ESTRENO 27-07-2026,,0.0
2025-08-01,Open Auction - BFM,—,—,Viant - CTV - 1st Price,,0.0
2025-12-01,Select - BFM,AdElement,Quorum,Quorum > Auto Enthusiasts > Physical Visitors,Quoru190,0.0
2025-11-01,DSP Marketplace - BFM,—,Beachfront Deal Curation,MadHive Deal - CTV RON,,0.0
2026-07-01,Open Auction - BFM,Marketperf,—,Bidswitch - Desktop [Display],,0.31
2026-08-01,Select - BFM,Yahoo DSP,Camelot,PMG - Pub Targeting - Hardee's,PMGPubHardees,0.0
2025-07-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - CTV - Roku - MIQ - $Other,841987070336,0.0
2025-07-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - APP Display,,0.3
2025-11-01,DSP Marketplace - BFM,MadHive,Beachfront Deal Curation,Madhive Deal - CTV - Spanish Channels & Networks,735504792609,21.1
2025-12-01,Open Auction - BFM,AdElement,—,Bidswitch - Desktop [Display],,1.09
2025-08-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - OTT - Skechers 2025 - Men 45+ - News,850505153503,727.63
2025-11-01,Select - BFM,Bidswitch,MultiLocal,T9_mlm_TA_US_CT_CTV_BF_MLMBRID4972,Multi24,0.0
2025-07-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Adrenaline-Seeking,Aki4,191.05
2025-07-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Quantum11 - Potbelly Contextual CTV_BFM,IRIS00282,610.83
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - Politics Allowed CTV,BFM017,3024.2
2025-08-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - Stadium,501170943430,0.62
2025-08-01,DSP Marketplace - BFM,Epsilon (Conversant),—,Conversant Deal - CTV - RON,255653458214,13429.07
2025-09-01,Open Auction - BFM,Xandr,—,Xandr CTV,,7013.86
2025-07-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - MW - 1st Price (HB),,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Family-Focused Shoppers - Connected TV,STNXCTV030,0.0
2026-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Political Issues Category Targeting - Video/CTV,Beach116,74.72
2026-08-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - Network CTV (Warner Bros Discovery),BFMNET010,20.78
2026-08-01,DSP Marketplace - BFM,StackAdapt,BFM Internal,StackAdapt Deal - CTV - NBC (Network),394570428639,0.23
2025-09-01,Select - BFM,Bidswitch,MultiLocal,T9_mlm_TA_US_CT_CTV_BF_MLMBRID4972,Multi24,0.0
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - Lockard &amp; Wechsler - $9 E.W. Scripps,200738058336,0.0
2025-08-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (USA),889893239659,0.0
2025-08-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - Wyndham Contextual CTV_BFM,IRIS00358,3649.73
2025-08-01,Open Auction - BFM,Inspiritum,—,Bidswitch - APP Display,,0.0
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - MiQ - CA CTV (RON),662507672500,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Live Sports - Political,BFMSA004,0.62
2025-10-01,Select - BFM,TheTradeDesk,MultiLocal,Epitaph_Maple TV_mlm_CA_Selected Publishers_Video CTV_CT_BF_V2_MLMBRID7415,Multi51,0.0
2025-12-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Curation,Octillion Deal - CTV - Fox Local TV,638579853073,12970.99
2025-07-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Newsy CTV (202814),,4.48
2025-09-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - Fubo CTV (RON),BFM062,183.45
2025-10-01,Open Auction - BFM,—,—,F0040389 AEW GEN- PROPIEDADES SEP 20,,0.0
2025-11-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Blaze Pizza Visitors - CTV,Quoru88,0.37
2025-11-01,Open Auction - BFM,—,—,F0041378 TNF BILLS VS TEXANS JUEVES 20s,,0.0
2025-08-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Sheppard Pratt CTV_BFM,IRIS00365,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Dick's Sporting Goods Visitors - Banner,Quoru40,0.0
2025-09-01,DSP Marketplace - BFM,Stirista,Beachfront Deal Curation,Stirista Deal - CTV (NY Cannabis-CBD),590294363402,0.25
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Racing US - ctv,Audig1795,0.02
2025-12-01,Select - BFM,DV360,Quorum,Quorum > DIY Home Renovators > Physical Visitors,Quoru193,0.0
2025-12-01,Open Auction - BFM,—,—,Conversant - Web - Open Auction - Seedtag,,0.0
2026-07-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Datafy - Sports Contextual - Q4,Datafy9368363227,223.59
2026-07-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Fashion Retail Shoppers - Connected TV,STNXCTV008,12.89
2026-07-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > Nationwide Targeting - Banner,Quoru52,2.77
2026-08-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Maternal & Family Health Advocates - Connected TV,STNXCTV025,0.17
2026-08-01,Select - BFM,Bidswitch,MultiLocal,T9_mlm_TA_CA_CT_CTV_BF_MLMBRID4972,Multi25,0.0
2025-09-01,Open Auction - BFM,TheTradeDesk,—,TTD - APP,,13673.71
2025-09-01,Open Auction - BFM,DV360,—,Bidswitch - CTV (Charter),,0.0
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_LDA Approved,Beach170,2.13
2025-08-01,DSP Marketplace - BFM,DV360,—,Deal Library - CTV - Women&#039;s History Month (Genre Targeting),BFM041,590.32
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Happy Kids CTV (223878) (Bundle ID 32614),,2.51
2025-09-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV -  RON,Aki1,9448.71
2025-12-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (Sports),,0.0
2025-11-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Genesis Dealership Visitors - CTV,Quoru118,0.16
2025-11-01,Open Auction - BFM,—,—,F0041402 AEW FULL GEAR DIA 25,,0.0
2025-12-01,Open Auction - BFM,—,—,F0044538 NFL SEAHAWKS VS PANTHERS + EAGLES VS BILLS DOMINGO 30,,0.0
2025-07-01,Open Auction - BFM,AdElement,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2025-07-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (CMDY),958486942632,0.0
2025-08-01,Select - BFM,TheTradeDesk,SilverBack,TTD Deal - Silverback - CTV (Live Sports) - Select,858615175283,70.54
2026-07-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Datafy - News Contextual - Q4,Datafy2106644013,380.31
2026-07-01,Open Auction - BFM,Infillion,—,Bidswitch - Desktop [Display],,0.74
2026-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,Live Sport - CTV - Golf Only - Jamloop,988359389694,131.87
2026-08-01,Select - BFM,StackAdapt,33Across,RON High CTR - Video - Stackadapt Deal,33Acr42,0.0
2025-09-01,DSP Marketplace - BFM,GroundTruth,—,GroundTruth Deal - CTV - Hispanic CTV - Network Targeting,820449397388,0.12
2025-07-01,Open Auction - BFM,Viant,—,Viant - APP - 1st Price,,1219.94
2025-07-01,Open Auction - BFM,DeepIntent,—,DeepIntent CTV OLV Demand,,47.82
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant AMC CTV (205656) (G15147002586),,16.34
2025-10-01,Open Auction - BFM,DeepIntent,—,DeepIntent CTV OLV Demand,,300.45
2025-11-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Alcohol Category Targeting - Video/CTV,Beach110,7736.28
2025-09-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (BET),040759591379,0.0
2025-08-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,SimpliFi Deal - CTV - Philo (Obfuscation),582453465559,425.83
2025-08-01,Open Auction - BFM,Quantcast,—,Bidswitch - APP 1st Price,,0.0
2025-11-01,Open Auction - BFM,—,—,TrueX FireTV Games ,,892.02
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - Future Today,982107772461,0.0
2025-07-01,DSP Marketplace - BFM,Viant,—,Viant - Linear (Sports),598949723631,0.0
2025-09-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant -  NH State Lottery CTV_BFM,IRIS00357,352.57
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - OLV - (Montchevre),576839990427,0.0
2025-11-01,Select - BFM,AdElement,Quorum,Quorum > Wholesale Shoppers > Physical Visitors,Quoru220,0.0
2025-09-01,Open Auction - BFM,Walmart,—,TTD - CTV (Charter),,0.91
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD - CTV - Holiday Movie/TV Show Watchers (Deal Library),403446476336,0.0
2025-07-01,Select - BFM,—,Aki,0,Aki1,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,CTV - Home & Garden - StackAdapt - PMP,Beach246,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Financial Professionals & Advisors - Connected TV,STNXCTV010,0.0
2026-07-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - Open Auction,747279147174,0.44
2026-07-01,Open Auction - BFM,Viant,—,Viant - CTV (Charter),,671.91
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,CTV - Home & Garden - StackAdapt - PMP,Beach246,0.0
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - Black History Month  - Contextual CTV,Beach210,14.75
2026-08-01,Open Auction - BFM,Demandbase,—,DemandBase - CTV,,36.26
2025-08-01,Open Auction - BFM,Stirista,—,Stirista - APP [Display],,0.0
2025-09-01,Open Auction - BFM,The Media Sense,—,The Media Sense DSP CTV Ads Direct,,0.0
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Dunkin Donuts Visitors - CTV,Quoru62,0.51
2025-12-01,Open Auction - BFM,Lemma DSP,—,Lemma DSP Inapp Video,,2231.36
2025-11-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - Seedtag,,0.3
2025-11-01,Select - BFM,TheTradeDesk,Chief Media,TTD - Chief Media - CTV - Pub Targeted - Fox,1213870,9581.74
2025-10-01,Open Auction - BFM,SmartClip,—,Vizio_SmartClip_Mexico_$8,,0.0
2025-11-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV - All Supply w/ Network Data,BFM037,14.26
2025-09-01,DSP Marketplace - BFM,4INFO,—,Cadent_Cartoon Network_PMP_Test,865665164740,0.0
2025-11-01,Open Auction - BFM,Adform,—,Bidswitch - Desktop [Display],,0.0
2025-08-01,Open Auction - BFM,Adtelligent,—,Adtelligent - CTV,,1689.49
2025-08-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - Philo,667896312331,1337.12
2025-07-01,Open Auction - BFM,Quantcast,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2025-08-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Guilty Pleasure Moment,Aki13,29.37
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV  - Women&#039;s World Cup,BFM033,2405.4
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Ford/Lincoln Dealership Visitors - CTV,Quoru116,0.0
2025-10-01,DSP Marketplace - BFM,—,Beachfront Deal Curation,"Datafy - Entertainment, Video-Level Contextual - Q4",,0.0
2026-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - Tax Season - Contextual CTV,Beach221,4.67
2026-07-01,Open Auction - BFM,Sharethrough,—,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,,110.84
2026-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt - Business & Finance US deal,Beach163,0.0
2026-08-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - Father's Day - 2026 Deal,Beach263,0.0
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,Jamloop Deal - CTV - Network-Channel-Newsmax,914358280972,130.03
2025-07-01,Select - BFM,SundaySky,Fize,SundaySky,fizesundaysky,10.39
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - CTV - $12 MIQ RON,166324629003,299.03
2025-07-01,Select - BFM,Yahoo DSP,Camelot,PMG - LG Ads,PMGLGAds,109525.1
2025-12-01,Open Auction - BFM,Between Exchange,—,Bidswitch - MW [Display],,0.0
2025-12-01,Open Auction - BFM,Stirista,—,Stirista - Open Auction - OLV (InApp),,0.03
2025-08-01,DSP Marketplace - BFM,Zeta DSP,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - RON (Curation Seat),447383266136,60.44
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD -CTV - Live Sports (HavasEdge),939291741799,0.0
2025-10-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV,443119806437,8907.77
2025-09-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - Univision,370633388408,1493.73
2025-11-01,Select - BFM,DV360,IRIS,GumGum - Cendyn - Royalton - Contextual CTV_BFM,IRIS00289,2156.41
2025-09-01,Select - BFM,TheTradeDesk,Media Culture,Law & Crime,Media21,1.37
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Lifestyle,Beach180,1.49
2025-12-01,Open Auction - BFM,—,—,F0044596 MLS ESPECIALES FIN DE AÑO GEN 15,,0.0
2025-11-01,DSP Marketplace - BFM,StackAdapt,—,Q4 Gold Publishers,078498699473,0.0
2025-07-01,Open Auction - BFM,IQM,—,IQM Deal - CTV - Battle States - Michigan MI - Politics Allowed (Deal Library),,0.0
2025-12-01,Open Auction - BFM,Between Exchange,—,Bidswitch - APP Display,,0.0
2025-09-01,Open Auction - BFM,—,—,Conversant - InApp - Open Auction,,0.0
2026-07-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV -  CBS Bundle Override (Price Targeted),MH42,3606.4
2026-08-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax - CTV - VideoAmp - Entertainment,VideoAmp99362,2.38
2026-08-01,Open Auction - BFM,Metax,—,MetaX A&amp;E Networks $16,,0.53
2026-08-01,Select - BFM,StackAdapt,33Across,RON High CTR -  Display - Stackadapt Deal,33Acr43,0.0
2026-08-01,DSP Marketplace - BFM,Viant,Beachfront Deal Migration,Viant Deal - CTV - Content Object Removed,918860075162,316.93
2025-09-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - ION - Bounce - Court,620792611801,53.27
2025-09-01,Open Auction - BFM,—,—,TrueX FireTV Games ,,390.0
2025-08-01,DSP Marketplace - BFM,IQM,—,IQM Deal - CTV - Battle States - Michigan MI - Politics Allowed (Deal Library),BFM072,0.0
2025-08-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - Healthy Living CTV_BFM,IRIS00318,2099.66
2025-10-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Travel - CTV - Tentpole Deal - VideoAmp,Beach155,32.74
2025-07-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (1st Price),,1388.83
2025-12-01,Open Auction - BFM,Webeye,—,Bidswitch - APP 1st Price,,0.07
2025-09-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV (Genre: Movie),737121000152,50.67
2025-09-01,Select - BFM,Viant,Audigent,Audigent & Beachfront - AUD-066527 - Optimum Media - Multiple Brands - CTV ContextualPMP - Baseball US - ctv,Audig1790,0.0
2026-07-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - World Health Day - 2026 Deal,Beach264,0.26
2026-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - News - Political,BFMSA001,157.94
2026-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV - Sports Genre + Live Sports,983805237051,789.67
2025-10-01,DSP Marketplace - BFM,MadHive,Beachfront Deal Curation,Madhive Deal - CTV - Spanish Channels & Networks,735504792609,3.52
2025-11-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.Fi Deal - Politics Allowed CTV,BFM017,201.24
2025-09-01,Open Auction - BFM,Infillion,—,Bidswitch - Desktop [Display],,2.01
2025-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV,443119806437,5516.5
2025-08-01,DSP Marketplace - BFM,4INFO,—,Cadent_FOX_Sports_PMP,893559554853,0.0
2025-08-01,Open Auction - BFM,TheTradeDesk,—,TTD - APP [Display],,22673.3
2025-11-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - Cinedigm,379708306000,1455.39
2025-10-01,Select - BFM,Adtelligent,A+E Networks,Adtilligent Deal,AENet1,1.34
2025-10-01,DSP Marketplace - BFM,Samsung DSP,Beachfront Deal Curation,SamsungAds Efficiency Line,314668390400,0.53
2025-10-01,Open Auction - BFM,Viant,—,Viant - APP - 1st Price,,309.92
2025-12-01,DSP Marketplace - BFM,Stirista,Beachfront Deal Curation,Stirista Deal - DV - CTV RON (Washington DC),298578719382,6.6
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant Deal - Desktop/MW (Video RON  - Policital Allowed Pubs Only),827453121055,4.08
2025-09-01,DSP Marketplace - BFM,Unruly,—,Unruly RTBHouse Deal - OLV - ($4),832060096754,0.0
2026-07-01,Open Auction - BFM,—,—,F0047149 GEARING UP EP 6 SABADO 20s,,0.0
2025-12-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV - All Supply w/ Channel Targeting,BFM038,65.73
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Warner Bros Channels & Networks,742050964622,41.9
2025-11-01,Select - BFM,Quantcast,Quorum,Quorum > Auto Enthusiasts > Physical Visitors,Quoru190,0.0
2025-09-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Political Issues Category Targeting - Video/CTV,Beach116,40.63
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Chevrolet/Buick/GMC Dealership Visitors - Banner,Quoru113,0.0
2025-09-01,Open Auction - BFM,OnSpot Data,—,Bidswitch -RTB- Getintent-Whitelist- Web Display,,0.0
2026-07-01,Open Auction - BFM,Metax,—,MetaX A&amp;E Networks $16,,10.49
2026-07-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds Deal - Q1 Tentpole - Winter Olympics - Contextual CTV,824105210563,6.44
2026-08-01,DSP Marketplace - BFM,StackAdapt,BFM Internal,StackAdapt Deal - CTV (Spanish Language),298330405897,10.86
2026-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - News - Political,BFMSA001,16.96
2025-08-01,DSP Marketplace - BFM,Bidswitch,—,Deal Library - CTV - Women&#039;s History Month (Genre Targeting),BFM041,0.0
2025-08-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Fighting US - ctv,Audig1796,0.02
2025-09-01,Open Auction - BFM,Adform,—,Bidswitch - Desktop [Display],,0.0
2025-09-01,Open Auction - BFM,—,—,F0031633 PFL GENERICO 25,,0.0
2025-08-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV (Samsung),BFM055,0.4
2025-11-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Firearms Category Targeting - Video/CTV,Beach114,33.85
2025-11-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,New Media CTV/OTT RON - Yahoo,378043004864,561.36
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - MIQ - EW Scripps CTV,960209121865,0.02
2025-07-01,Select - BFM,TheTradeDesk,Chief Media,TTD - Chief Media - CTV - CBS News- Deal,536458915612,2.58
2025-08-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Migration,Beeswax Deal - CTV - Datafy - Local News - Bundles,976376076666,346.59
2025-09-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - Telly (Big Screen),Strat46,2.39
2025-09-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Entertainment,105507977165,10185.67
2025-10-01,Open Auction - BFM,—,—,Beeswax UR Improvement Tier 2 (Mid UR),,0.0
2026-07-01,DSP Marketplace - BFM,TheTradeDesk,BFM Internal,TTD Deal - CTV - Goodway Group (<$15),778377951937,0.0
2025-09-01,Open Auction - BFM,GroundTruth,—,GroundTruth Video CTV - Efficiency Monitoring,,430.78
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > Viant > Nationwide Targeting - Banner,Quoru52,0.58
2025-09-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - APP,,0.11
2025-08-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - CTV (WeatherNationTV),BFM057,22.93
2025-08-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - CTV - Fox Television Stations,982803901767,947.31
2025-07-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - Premium CTV,BFM012,2155.31
2025-12-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - Desktop/MW - 1st Price,,2611.38
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > Viant > High Index Zips - New & Used Automotive Dealer Visitors - Banner,Quoru44,0.0
2025-11-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - Zeta - OLV Web - Women 18-34,866808155125,0.0
2026-08-01,Open Auction - BFM,LoopMe,—,LoopMe - Open Auction - CTV,,1150.34
2025-09-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Alcohol Category Targeting - Video/CTV,Beach110,6485.73
