quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-01-01,Viant,Viant - MW,69307.55,,,,0
2026-01-01,LoopMe,LoopMe - Open Auction - CTV,68511.43,,,,0
2025-04-01,TheTradeDesk,TTD - APP [Display],68491.03,,,,0
2025-10-01,Xandr,Xandr CTV,66091.95,,,,0
2025-04-01,Viant,Viant - Desktop,65928.35,,,,0
2025-01-01,LoopMe,LoopMe - Open Auction - CTV,64408.15,,,,0
2025-10-01,Zeta DSP,Bidswitch - CTV - 1st Price,63811.49,,,,0
2025-10-01,Yahoo DSP,Yahoo - In-App,63737.44,,,,0
2025-01-01,DV360,Bidswitch - CTV - 1st Price,62821.78,,,,0
2025-04-01,Basis Technologies,Centro Display Web,62052.85,,,,0
2025-01-01,Basis Technologies,Centro Video Web (1st Price),61199.87,,,,0
2025-04-01,GroundTruth,GroundTruth Video CTV,60923.33,,,,0
2026-04-01,Basis Technologies,Basis - CTV - oRTB - (US),60216.71,,14113.4,,0
2025-07-01,Amobee,Amobee - CTV - 1st Price,59019.82,,,19848.79,0
2025-01-01,StackAdapt,StackAdapt - CTV - Open Auction,58897.79,,,,0
2025-01-01,Basis Technologies,Centro Display Web,58633.14,,,,0
2025-07-01,Viant,Viant - MW,58354.72,,,14016.68,0
2026-04-01,Zeta DSP,Bidswitch - CTV - 1st Price,58107.54,,35175.85,,0
2025-01-01,Lemma DSP,Lemma DSP CTV Ad,57444.87,,,,0
2025-04-01,DV360,Bidswitch - CTV - 1st Price,56220.98,,,,0
2025-10-01,Amazon DSP,Bidswitch - Seedtag,55513.72,,,,0
2025-07-01,4INFO,4INFO - CTV - 1st Price,55162.75,,,4284.45,0
2026-04-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),55061.37,,17913.69,,0
2025-10-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),55056.2,,,,0
2025-04-01,Epsilon (Conversant),Conversant Pluto CTV (204778),53770.67,,,,0
2026-07-01,Beeswax,Beeswax - CTV - Open Auction EAST,53470.43,53470.43,,,0
2025-10-01,Beeswax,Beeswax UR Improvement Tier 2 (Mid UR),52688.32,,,,0
2025-01-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,51856.03,,,,0
2026-01-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),51036.99,,,,0
2025-07-01,Sharethrough,Sharethrough CTV Video,50359.87,,,7594.33,0
2025-07-01,Amazon DSP,Bidswitch - APP 1st Price,50178.21,,,4754.46,0
2025-04-01,Beeswax,Beeswax - CTV - Open Auction EAST,49925.96,,,,0
2025-07-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),48410.52,,,3363.4,0
2026-01-01,Yahoo DSP,Yahoo - In-App,47935.54,,,,0
2025-07-01,DV360,Bidswitch - Seedtag,47674.08,,,14967.84,0
2026-04-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,46356.77,,19084.73,,0
2025-10-01,Viant,Viant - MW,45994.34,,,,0
2025-04-01,Adtheorent,Ad Theorent - CTV - 1st Price,45503.33,,,,0
2025-01-01,Infillion,Bidswitch - CTV - 1st Price,44930.11,,,,0
2026-01-01,DV360,Bidswitch - Seedtag,44622.93,,,,0
2026-07-01,Beeswax,Beeswax - CTV - Open Auction WEST,43399.8,43399.8,,,0
2026-01-01,Xandr,Xandr CTV,42381.13,,,,0
2026-04-01,Beeswax,Beeswax - CTV - Open Auction WEST,42354.53,,273.82,,0
2025-07-01,Basis Technologies,Centro Video Web (1st Price),42055.61,,,11790.68,0
2025-10-01,Viant,Viant - MW - 1st Price,41869.34,,,,0
2025-01-01,Viant,Viant - Desktop,41752.49,,,,0
2025-07-01,Xandr,Xandr CTV,41404.62,,,15431.13,0
2025-01-01,Xandr,Xandr CTV,41205.0,,,,0
2026-01-01,TheTradeDesk,TTD - APP,41135.07,,,,0
2026-04-01,Yahoo DSP,Yahoo - In-App,40874.92,,7003.2,,0
2025-07-01,Viant,Viant - Desktop,40731.41,,,16423.51,0
