dsp_group_name,connection_type,business_line,product_category,ytd_current_year,ytd_previous_year,change_pct
StackAdapt,Reseller,Open Auction - Seedtag,Display,413256.96781460615,97039.61197547626,325.86420061020436
Criteo,Reseller,Open Auction - Seedtag,Display,406640.4767195323,58175.68195329129,598.987039027785
Smaato,Reseller,Open Auction - Seedtag,Online Video,391216.55123275367,13704.776401883952,2754.6000296580864
StackAdapt,Direct,Open Auction - Seedtag,Online Video,390894.8043661945,0,
Opera,Direct,Open Auction - Seedtag,Native,381604.659308464,110776.30825250808,244.48219599322496
Xandr,Direct,Open Auction - Seedtag,Display,380262.8397077981,273866.7624107681,38.84957647304727
Equativ Direct Demand,Reseller,Open Auction - Seedtag,Display,376361.14579933626,32230.254733302623,1067.7262525959895
Adform,Reseller,Open Auction - Seedtag,Display,374605.56569554796,112375.62635107784,233.35125939607724
Amazon DSP,Reseller,PMP External Web,Display,374478.1277158898,379.7590231831479,98509.40882378683
LinkedIn,Reseller,Open Auction - Seedtag,Display,372077.3683326285,39988.60349992098,830.4585200965164
Outbrain/Teads,Reseller,Open Auction - Seedtag,Display,370568.0106106901,104877.267355703,253.33492181281494
Nexxen,Direct,Open Auction - Seedtag,Online Video,370472.0926795244,38225.433273174545,869.176961401535
Amazon DSP,Reseller,PMP External Web,Online Video,363223.5076890134,39321.772379863076,823.72109827639
Viant,Direct,PMP CTV - O&O,CTV,360876.3999999999,35584.18,914.148422135904
Xandr,Reseller,Open Auction - Seedtag,Online Video,354617.75795786246,71880.3944323278,393.3442015148085
DeepIntent,Reseller,PMP External Web,Online Video,348389.66958235524,7973.983488242882,4269.079395461917
GroundTruth,Direct,DSP Marketplace - BFM,CTV,329467.79,85780.38,284.0829219921851
StackAdapt,Reseller,Open Auction - Seedtag,Native,328281.134027906,39071.57862733284,740.2044287973926
Xandr,Reseller,Open Auction - Seedtag,Display,323602.93802259146,87457.27437195819,270.012603692975
Adobe DSP,Reseller,PMP External Web,Display,317494.95448768104,8772.707461032855,3519.121644007274
Amobee,Direct,Open Auction - BFM,CTV,306292.47,40964.73,647.6980075298922
Yahoo DSP,Direct,Select - BFM,CTV,294018.67,456641.51000000007,-35.61280269943047
Pubmatic,Reseller,Open Auction - Seedtag,Display,292234.51691895013,62656.580252662636,366.4067456929736
StackAdapt,Direct,DSP Marketplace - BFM,CTV,287498.06,63735.219999999994,351.08192926924863
Basis Technologies,Reseller,Open Auction - Seedtag,Online Video,287410.9841280679,59061.54952639357,386.629603240648
Nexxen,Reseller,PMP External Web,Display,286311.43638995296,230974.00289963043,23.95829521747924
Beeswax,Direct,DSP Marketplace - BFM,CTV,282084.28,86927.67,224.50459100077114
Conversant,Reseller,Open Auction - Seedtag,Display,277659.94608931174,43701.47256218215,535.3560413650448
DV360,Reseller,PMP External Web,Native,246759.91800467973,200498.75028494323,23.07304541997963
Baidu,Reseller,Open Auction - Seedtag,Display,246147.19285188674,16792.97580159347,1365.7747129518882
Samsung DSP,BidSwitch,DSP Marketplace - BFM,CTV,238837.80999999997,136.31,175116.64588071304
Conversant,Direct,DSP Marketplace - BFM,CTV,236147.42,49940.049999999996,372.8618012997585
Viant,Reseller,Open Auction - Seedtag,Display,232926.25921422054,15015.350956716553,1451.2541790442117
TrueX,Direct,Open Auction - BFM,CTV,232895.43999999994,128240.07999999999,81.60893224645523
Adtheorent,Reseller,PMP External Web,Display,230570.11735200186,99087.92666577217,132.69244307606186
Amazon DSP,Reseller,PMP Web - O&O,Display,230302.11795382196,694.752001085144,33048.82398238644
Nexxen,Reseller,Open Auction - Seedtag,Online Video,226675.57946281685,143083.65183067785,58.42171803880147
Adobe DSP,Reseller,PMP External CTV,CTV,226230.94723243164,91532.06114437242,147.16033311606552
DV360,BidSwitch,PMP Web - O&O,Display,224609.9772866573,111366.22647466487,101.68590101035224
Bidtellect,Reseller,Open Auction - Seedtag,Display,222255.61080933674,1378.0058523981716,16028.785695832914
Yahoo DSP,Reseller,Open Auction - Seedtag,Display,222148.66030024708,283148.78095575824,-21.543486943368606
DV360,BidSwitch,PMP Web - O&O,Online Video,219539.8662194825,174.56758509902284,125662.10302442421
TheTradeDesk,Reseller,PMP External CTV,CTV,214148.90562844859,309931.99313245626,-30.904549909783814
Nexxen,Reseller,PMP External Web,Online Video,202496.1704486954,65053.89012127608,211.27449883657056
Octillion,Direct,DSP Marketplace - BFM,CTV,197479.65,137214.81,43.92006956100438
Zeta DSP,BidSwitch,Open Auction - BFM,CTV,188556.55999999997,195428.00999999998,-3.516102937342509
Marketing Architects,Direct,Open Auction - BFM,CTV,187535.79,153719.74000000005,21.998508454411873
Blis Media,Reseller,Open Auction - Seedtag,Online Video,186726.4407004014,14195.100170597754,1215.4288342900672
BidSwitch,Reseller,Open Auction - Seedtag,Native,186687.98833320948,52111.91224015381,258.2443635398985
MadHive,Direct,DSP Marketplace - BFM,CTV,186436.15999999992,193458.62,-3.6299545608255035
Basis Technologies,Direct,Open Auction - BFM,CTV,185838.66999999998,237615.19999999998,-21.79007487736475
Amazon DSP,Reseller,PMP Web - O&O,Online Video,180902.9877227574,3319.4197561107576,5349.83765279251
Pubmatic,Reseller,PMP External CTV,CTV,178286.27968643076,0,
SmartAdServerORTB,Reseller,PMP External Web,Display,177593.77362542725,62795.96912511273,182.81078562796753
Basis Technologies,Reseller,Open Auction - Seedtag,Display,174095.8998396251,30488.474913384875,471.0220020326255
LinkedIn,Reseller,Open Auction - Seedtag,Online Video,162911.43921616362,2825.001062923111,5666.77443963842
Nexxen,Reseller,Open Auction - Seedtag,Display,157552.8266616768,8071.400171792691,1851.988791390623
StackAdapt,BidSwitch,Open Auction - Seedtag,Display,154521.57107317122,0,
LoopMe,Reseller,Open Auction - Seedtag,Online Video,154516.0975636104,27490.812124954056,462.06450672060186
Xandr,Reseller,Open Auction - Seedtag,Native,151563.94805747358,46457.28841339206,226.24363847671927
Pubmatic,Reseller,Open Auction - Seedtag,Online Video,150621.4527533588,29373.214720523218,412.7850464665647
Active Agent,Reseller,Open Auction - Seedtag,Display,142269.61798193183,18571.314974766763,666.0718596137998
TheTradeDesk,Direct,Open Auction - Seedtag,Native,141878.73992257353,57408.090896106,147.1406690379895
OpenX,Reseller,Open Auction - Seedtag,Online Video,141038.0425429074,57343.18529360541,145.95432189679073
SmartAdServerVideo,Reseller,PMP External Web,Online Video,139653.48483149114,68120.2762564609,105.01015630899711
Viant,Direct,Select - BFM,CTV,139413.35000000006,46487.37999999999,199.8950467847405
Criteo,Reseller,Open Auction - Seedtag,Native,138119.42780259316,7614.407466104691,1713.922204944084
StackAdapt,Reseller,Open Auction - Seedtag,Online Video,134293.61734809578,73466.75735852496,82.79507926657195
Yahoo DSP,Reseller,PMP External Web,Native,133725.35257368747,0,
BidSwitch,Reseller,Open Auction - Seedtag,Online Video,130012.84696704338,79667.45312244644,63.19443119038537
Smadex,Reseller,Open Auction - Seedtag,Display,125978.54288596357,7120.757766444647,1669.173268042004
Yahoo DSP,Reseller,Open Auction - Seedtag,Online Video,124949.64140122762,91325.58562095634,36.81778282794349
Xandr,Direct,Open Auction - Seedtag,Native,123754.36740262683,27945.787308060415,342.83729078168534
Equativ Direct Demand,Reseller,Open Auction - Seedtag,Online Video,122873.48152231576,23488.699108148576,423.11744024891163
Conversant,Direct,Open Auction - Seedtag,Online Video,122716.60299176624,0,
Xandr,Direct,Open Auction - BFM,CTV,120293.31,64524.73000000001,86.42977661433063
Adform,Reseller,PMP Web - O&O,Display,119020.25170733314,21579.277514874935,451.54882560498424
Yahoo DSP,Direct,Open Auction - BFM,CTV,115978.31999999998,33840.55,242.71996170275
Basis Technologies,Direct,DSP Marketplace - BFM,CTV,111384.75999999997,324396.43,-65.66399944660304
DV360,BidSwitch,Open Auction - BFM,CTV,110813.01000000007,85777.48000000004,29.186600026020834
Adtelligent,Direct,Open Auction - BFM,CTV,109008.82999999996,64845.05,68.10663265738857
Sharethrough,Direct,Open Auction - BFM,CTV,105600.27999999997,50427.359999999986,109.4106849932259
Viant,Direct,Open Auction - Seedtag,Display,104768.00156129514,0,
OpenX,Reseller,Open Auction - Seedtag,Display,104051.59715472099,16972.930531029906,513.044382432921
Yahoo DSP,Direct,DSP Marketplace - BFM,CTV,104023.54000000001,23523.420000000002,342.2126544524563
Hawk DSP,Reseller,Open Auction - Seedtag,Display,101166.35547829137,11059.542483795896,814.7426815034818
Nexxen,Reseller,PMP External Web,Native,98429.99976220152,0,
Quantcast,Reseller,Open Auction - Seedtag,Online Video,95130.06781514996,20902.982730045325,355.1028388805624
