dsp_group_name,connection_type,business_line,product_category,last_7_days,previous_7_days,abs_change,change_pct
Xandr,Direct,Open Auction - Seedtag,Display,14159.761581683972,17487.114007041113,-3327.3524253571413,-19.027453152174775
GroundTruth,Direct,DSP Marketplace - BFM,CTV,8296.579999999996,12473.82,-4177.240000000003,-33.48805738739218
Basis Technologies,Reseller,Open Auction - Seedtag,Online Video,6499.611324838552,10767.184931759839,-4267.573606921287,-39.634998692492736
Nexxen,Reseller,PMP External Web,Display,11444.042771695156,16392.464981419937,-4948.42220972478,-30.187175725759225
TheTradeDesk,Direct,PMP CTV - O&O,CTV,87580.43000000001,92702.09999999999,-5121.669999999984,-5.5248694474019295
TheTradeDesk,Direct,Open Auction - BFM,CTV,30987.73000000021,36397.669999999984,-5409.939999999773,-14.863423949939035
DV360,BidSwitch,Open Auction - Seedtag,Display,339018.5559714251,344593.73334444326,-5575.177373018174,-1.6178986538462181
Smadex,Reseller,Open Auction - Seedtag,Online Video,50648.465083559844,56231.824149840555,-5583.359066280711,-9.929180051855996
RtbHouse,Reseller,Open Auction - Seedtag,Display,25519.577842559083,31539.3893437359,-6019.811501176817,-19.08664570378698
Nexxen,Reseller,Open Auction - Seedtag,Online Video,8190.654794914326,14320.54929696033,-6129.894502046003,-42.80488391145116
Active Agent,Reseller,Open Auction - Seedtag,Display,7005.237202218375,13335.681356840989,-6330.4441546226135,-47.4699716139753
TheTradeDesk,Direct,Open Auction - Seedtag,Display,44967.00629123485,52930.0664443518,-7963.060153116952,-15.044493022673494
DV360,Reseller,Open Auction - Seedtag,Native,66360.45759231731,74565.30900168352,-8204.851409366209,-11.003577292465806
DV360,BidSwitch,PMP Web - O&O,Display,41188.823828471286,51304.076959513215,-10115.253131041929,-19.716275451216898
TheTradeDesk,Reseller,PMP External Web,Display,101810.21498945513,112256.85495540188,-10446.639965946757,-9.306015182856374
Nexxen,Direct,Open Auction - Seedtag,Online Video,14284.787999420805,24891.031036253444,-10606.243036832639,-42.61070190859026
PubMatic ST,Reseller,Open Auction - BFM,CTV,86619.50000000061,99513.75999999998,-12894.259999999369,-12.957263397543587
Nexxen,Direct,Open Auction - Seedtag,Display,33716.43097523099,47133.43964006647,-13417.008664835477,-28.466007928328985
Xandr,Direct,Direct Web - O&O,Display,928275.2280952898,941825.9618159756,-13550.733720685821,-1.4387725832656026
Xandr,Reseller,Open Auction - Seedtag,Display,6532.776941213378,20847.406367768097,-14314.629426554719,-68.66383843645117
DV360,Unknown,Direct External CTV,CTV,97665.86194873715,112858.98560225549,-15193.123653518342,-13.462041655294398
DSP Not Found,Reseller,Open Auction - Seedtag,Display,262879.7827427833,278463.7484316165,-15583.96568883321,-5.596407351623448
DV360,Reseller,PMP External Web,Online Video,139640.68810526613,158390.02655610483,-18749.338450838695,-11.83744889656756
DV360,Reseller,PMP Web - O&O,Display,224391.8451954113,247865.32736502122,-23473.482169609924,-9.470256457064478
DV360,Reseller,Open Auction - Seedtag,Online Video,420275.6632545707,451932.5331360698,-31656.869881499093,-7.0047778286339275
DV360,Unknown,Direct External Web,Online Video,140082.75279260127,172247.51517016685,-32164.76237756558,-18.67357119537507
DV360,Unknown,Direct External Web,Display,269988.07694025314,327610.8691868532,-57622.79224660003,-17.588791357754012
Amazon DSP,Reseller,Open Auction - Seedtag,Display,715412.9563723402,916069.2188750696,-200656.26250272943,-21.904050301912203
DV360,Reseller,PMP Web - O&O,Online Video,345390.4728269228,629259.79189714,-283869.3190702172,-45.11162523421154
DSP Not Found,Reseller,PMP Web - O&O,Online Video,0,,,
